dam_name,day,daily_storage_volume,daily_regulated_releases,daily_spill_volume
Burrendong,01/01/1890,1133400,5985.5,0
Burrendong,02/01/1890,1127100,5746.7,0
Burrendong,03/01/1890,1120100,6454.4,0
Burrendong,04/01/1890,1113000,6544.7,0
Burrendong,05/01/1890,1106200,6284.5,0
Burrendong,06/01/1890,1099100,6645,0
Burrendong,07/01/1890,1092300,6305.4,0
Burrendong,08/01/1890,1085600,6168.2,0
Burrendong,09/01/1890,1079500,5609,0
Burrendong,10/01/1890,1072400,6501.4,0
Burrendong,11/01/1890,1065700,6176,0
Burrendong,12/01/1890,1060000,6161,0
Burrendong,13/01/1890,1053400,6665.3,0
Burrendong,14/01/1890,1046600,6235.6,0
Burrendong,15/01/1890,1039800,6246,0
Burrendong,16/01/1890,1033000,6280.9,0
Burrendong,17/01/1890,1026100,6344,0
Burrendong,18/01/1890,1019200,6345,0
Burrendong,19/01/1890,1012300,6349.3,0
Burrendong,20/01/1890,1005400,6349.3,0
Burrendong,21/01/1890,998530,6351.3,0
Burrendong,22/01/1890,991620,6352.3,0
Burrendong,23/01/1890,984870,6192,0
Burrendong,24/01/1890,978150,6166.1,0
Burrendong,25/01/1890,971610,5982.9,0
Burrendong,26/01/1890,965370,5684.9,0
Burrendong,27/01/1890,959130,5686.9,0
Burrendong,28/01/1890,953120,5447.1,0
Burrendong,29/01/1890,947260,5315.9,0
Burrendong,30/01/1890,942430,4263.5,0
Burrendong,31/01/1890,937680,4202,0
Burrendong,01/02/1890,933110,4160,0
Burrendong,02/02/1890,929010,4164,0
Burrendong,03/02/1890,924450,4160.6,0
Burrendong,04/02/1890,919940,4101.8,0
Burrendong,05/02/1890,915460,4073.3,0
Burrendong,06/02/1890,910960,4092.3,0
Burrendong,07/02/1890,906430,4132.5,0
Burrendong,08/02/1890,901890,4138.3,0
Burrendong,09/02/1890,898140,4128.4,0
Burrendong,10/02/1890,893930,4112.2,0
Burrendong,11/02/1890,893550,2084.6,0
Burrendong,12/02/1890,895630,2373.3,0
Burrendong,13/02/1890,898740,1653.2,0
Burrendong,14/02/1890,923670,0,0
Burrendong,15/02/1890,943420,895.54,0
Burrendong,16/02/1890,958780,0,0
Burrendong,17/02/1890,982950,0,0
Burrendong,18/02/1890,1000800,0,0
Burrendong,19/02/1890,1015300,0,0
Burrendong,20/02/1890,1019000,0,0
Burrendong,21/02/1890,1021500,0,0
Burrendong,22/02/1890,1024800,0,0
Burrendong,23/02/1890,1029700,0,0
Burrendong,24/02/1890,1063300,0,0
Burrendong,25/02/1890,1089300,0,0
Burrendong,26/02/1890,1105400,0,0
Burrendong,27/02/1890,1116100,0,0
Burrendong,28/02/1890,1124800,0,0
Burrendong,01/03/1890,1132300,0,0
Burrendong,02/03/1890,1142200,0,0
Burrendong,03/03/1890,1149000,0,0
Burrendong,04/03/1890,1153700,0,0
Burrendong,05/03/1890,1157300,0,0
Burrendong,06/03/1890,1160200,0,0
Burrendong,07/03/1890,1162800,0,0
Burrendong,08/03/1890,1164900,0,0
Burrendong,09/03/1890,1166600,0,0
Burrendong,10/03/1890,1168200,0,0
Burrendong,11/03/1890,1170100,0,0
Burrendong,12/03/1890,1262900,0,34897
Burrendong,13/03/1890,1301100,0,94507
Burrendong,14/03/1890,1300400,0,34893
Burrendong,15/03/1890,1300900,0,10051
Burrendong,16/03/1890,1301700,0,5892.8
Burrendong,17/03/1890,1302200,0,4421.9
Burrendong,18/03/1890,1302600,0,3530.5
Burrendong,19/03/1890,1302900,0,2954.3
Burrendong,20/03/1890,1303100,0,2542.2
Burrendong,21/03/1890,1303200,0,2233.4
Burrendong,22/03/1890,1303200,0,1992.5
Burrendong,23/03/1890,1303200,0,1802.6
Burrendong,24/03/1890,1305400,0,1630
Burrendong,25/03/1890,1305900,0,1617.6
Burrendong,26/03/1890,1306400,0,2449.1
Burrendong,27/03/1890,1306700,0,2902.7
Burrendong,28/03/1890,1306600,0,2265.7
Burrendong,29/03/1890,1306600,0,1749
Burrendong,30/03/1890,1306500,0,1518.1
Burrendong,31/03/1890,1306900,0,1377.6
Burrendong,01/04/1890,1307000,0,1272.3
Burrendong,02/04/1890,1307100,0,1185.9
Burrendong,03/04/1890,1307200,0,1133.7
Burrendong,04/04/1890,1307200,0,1079.7
Burrendong,05/04/1890,1307200,0,1020.6
Burrendong,06/04/1890,1307200,0,966.97
Burrendong,07/04/1890,1307200,0,917.62
Burrendong,08/04/1890,1307200,0,873.88
Burrendong,09/04/1890,1307200,0,832.38
Burrendong,10/04/1890,1310600,0,795.59
Burrendong,11/04/1890,1312600,0,923.21
Burrendong,12/04/1890,1313000,0,1107.4
Burrendong,13/04/1890,1312900,0,1763.6
Burrendong,14/04/1890,1312900,0,937.52
Burrendong,15/04/1890,1312800,0,784.63
Burrendong,16/04/1890,1312700,0,719.91
Burrendong,17/04/1890,1312600,0,675.05
Burrendong,18/04/1890,1312600,0,643.57
Burrendong,19/04/1890,1312400,0,612.55
Burrendong,20/04/1890,1312300,0,583.69
Burrendong,21/04/1890,1312200,0,555.42
Burrendong,22/04/1890,1312100,0,530.68
Burrendong,23/04/1890,1311900,0,508.67
Burrendong,24/04/1890,1312200,0,486.64
Burrendong,25/04/1890,1312000,0,466.18
Burrendong,26/04/1890,1311800,0,447.18
Burrendong,27/04/1890,1311700,0,428.94
Burrendong,28/04/1890,1311500,0,412.18
Burrendong,29/04/1890,1311400,0,396.1
Burrendong,30/04/1890,1311200,0,380.89
Burrendong,01/05/1890,1311100,0,369.33
Burrendong,02/05/1890,1311000,0,352.17
Burrendong,03/05/1890,1310900,0,345.36
Burrendong,04/05/1890,1310800,0,333.48
Burrendong,05/05/1890,1310600,0,321.17
Burrendong,06/05/1890,1310500,0,308.2
Burrendong,07/05/1890,1310400,0,300.64
Burrendong,08/05/1890,1310300,0,289.52
Burrendong,09/05/1890,1310200,0,280.43
Burrendong,10/05/1890,1310000,8.64,272.2366
Burrendong,11/05/1890,1309900,17.92,263.914
Burrendong,12/05/1890,1309700,34.8,254.778
Burrendong,13/05/1890,1309500,43.42,246.911
Burrendong,14/05/1890,1309300,50.5,239.407
Burrendong,15/05/1890,1309100,43.66,231.686
Burrendong,16/05/1890,1309600,48.99,225.067
Burrendong,17/05/1890,1309400,54.68,218.66
Burrendong,18/05/1890,1310500,59.28,210.645
Burrendong,19/05/1890,1310300,59.74,223.939
Burrendong,20/05/1890,1310200,72.29,464.643
Burrendong,21/05/1890,1310000,124.67,474.84
Burrendong,22/05/1890,1309700,154.48,364.15
Burrendong,23/05/1890,1311800,165.58,305.97
Burrendong,24/05/1890,1312000,31.83,792.269
Burrendong,25/05/1890,1312400,0,533.1
Burrendong,26/05/1890,1312400,0,467.53
Burrendong,27/05/1890,1312400,0,707.33
Burrendong,28/05/1890,1313500,0,1962.5
Burrendong,29/05/1890,1314600,0,2270.2
Burrendong,30/05/1890,1314600,0,3491.9
Burrendong,31/05/1890,1314700,0,1273.5
Burrendong,01/06/1890,1315400,0,919.27
Burrendong,02/06/1890,1315600,0,708.06
Burrendong,03/06/1890,1316300,0,1051.1
Burrendong,04/06/1890,1316600,0,1935.2
Burrendong,05/06/1890,1316800,0,1341.3
Burrendong,06/06/1890,1317500,0,1038.9
Burrendong,07/06/1890,1318600,0,1593.8
Burrendong,08/06/1890,1319100,0,2732.8
Burrendong,09/06/1890,1319800,0,2068.4
Burrendong,10/06/1890,1320600,0,2194.6
Burrendong,11/06/1890,1320900,0,1423.7
Burrendong,12/06/1890,1321300,0,1263.4
Burrendong,13/06/1890,1322600,0,1521.3
Burrendong,14/06/1890,1326000,0,4456.8
Burrendong,15/06/1890,1330000,0,9140.3
Burrendong,16/06/1890,1331100,0,11838
Burrendong,17/06/1890,1332600,0,7066.8
Burrendong,18/06/1890,1333900,0,6314.6
Burrendong,19/06/1890,1335000,0,5548.5
Burrendong,20/06/1890,1335600,0,4428.7
Burrendong,21/06/1890,1340900,0,4648.1
Burrendong,22/06/1890,1359400,0,18455
Burrendong,23/06/1890,1364600,0,51315
Burrendong,24/06/1890,1370700,0,23672
Burrendong,25/06/1890,1372400,0,22787
Burrendong,26/06/1890,1374200,0,11733
Burrendong,27/06/1890,1376500,0,9070.4
Burrendong,28/06/1890,1378000,0,7699.1
Burrendong,29/06/1890,1379800,0,6893.5
Burrendong,30/06/1890,1382800,0,8780.7
Burrendong,01/07/1890,1384700,0,9052.7
Burrendong,02/07/1890,1387500,0,8357.6
Burrendong,03/07/1890,1390600,0,10092
Burrendong,04/07/1890,1393200,0,10638
Burrendong,05/07/1890,1395700,0,9921
Burrendong,06/07/1890,1397000,0,7931.7
Burrendong,07/07/1890,1399600,0,5870
Burrendong,08/07/1890,1403600,0,7315
Burrendong,09/07/1890,1420700,0,19737
Burrendong,10/07/1890,1423700,0,39906
Burrendong,11/07/1890,1426200,0,19894
Burrendong,12/07/1890,1428200,0,13273
Burrendong,13/07/1890,1429800,0,9447.3
Burrendong,14/07/1890,1431100,0,7305.2
Burrendong,15/07/1890,1432200,0,5979.1
Burrendong,16/07/1890,1433200,0,4967.3
Burrendong,17/07/1890,1434000,0,4243.9
Burrendong,18/07/1890,1434700,0,3671.3
Burrendong,19/07/1890,1435200,0,3650.4
Burrendong,20/07/1890,1435000,0,3617.2
Burrendong,21/07/1890,1435100,0,3135
Burrendong,22/07/1890,1435100,0,3417.3
Burrendong,23/07/1890,1435000,0,3344.5
Burrendong,24/07/1890,1435000,0,3110.1
Burrendong,25/07/1890,1435000,0,3176
Burrendong,26/07/1890,1435100,0,2930.5
Burrendong,27/07/1890,1435000,0,2916.4
Burrendong,28/07/1890,1435000,0,2685.5
Burrendong,29/07/1890,1435100,0,2286.4
Burrendong,30/07/1890,1435500,0,2310.7
Burrendong,31/07/1890,1436000,0,1958.9
Burrendong,01/08/1890,1439600,0,7199.9
Burrendong,02/08/1890,1441700,0,16115
Burrendong,03/08/1890,1440000,0,20852
Burrendong,04/08/1890,1439600,0,14724
Burrendong,05/08/1890,1438700,0,13579
Burrendong,06/08/1890,1437700,0,10523
Burrendong,07/08/1890,1438700,0,9105.1
Burrendong,08/08/1890,1438300,0,11640
Burrendong,09/08/1890,1437600,0,10250
Burrendong,10/08/1890,1437100,0,8396.4
Burrendong,11/08/1890,1436600,0,7386.1
Burrendong,12/08/1890,1436500,0,6352
Burrendong,13/08/1890,1436100,0,5466.5
Burrendong,14/08/1890,1435800,0,4802.7
Burrendong,15/08/1890,1435500,0,4334.1
Burrendong,16/08/1890,1435300,0,4090.3
Burrendong,17/08/1890,1435100,0,4221.4
Burrendong,18/08/1890,1435000,0,3845.1
Burrendong,19/08/1890,1435100,0,3234.9
Burrendong,20/08/1890,1435000,0,3109.2
Burrendong,21/08/1890,1435000,0,2664.5
Burrendong,22/08/1890,1435000,0,2431.1
Burrendong,23/08/1890,1435100,0,2225
Burrendong,24/08/1890,1435000,0,2050.4
Burrendong,25/08/1890,1435000,0,1902.7
Burrendong,26/08/1890,1435000,0,1778.5
Burrendong,27/08/1890,1435000,0,1669.9
Burrendong,28/08/1890,1435000,0,1481.7
Burrendong,29/08/1890,1435000,0,1493.8
Burrendong,30/08/1890,1435000,0,1336.1
Burrendong,31/08/1890,1435000,0,1359.6
Burrendong,01/09/1890,1433500,1542.2,1153.4
Burrendong,02/09/1890,1433100,530.09,1111.01
Burrendong,03/09/1890,1433200,1.14,1073.2611
Burrendong,04/09/1890,1433200,1.14,1036.7611
Burrendong,05/09/1890,1435200,1.14,1003.1611
