Basin_name,Category,AL,WaterType,purpose_des,WSP,WS,ShareComponent,Purpose,Long,Lat
Macquarie,LOCAL WATER UTILITY,80AL700006,REG,DOMESTIC,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8700,J,148.594478,-32.252239
Macquarie,LOCAL WATER UTILITY,80AL700011,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2000,A,149.587012,-32.58838
Macquarie,LOCAL WATER UTILITY,80AL700014,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,600,A,149.469622,-32.375613
Macquarie,LOCAL WATER UTILITY,80AL700017,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,750,A,147.809894,-31.676755
Macquarie,LOCAL WATER UTILITY,80AL700020,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1855,A,148.961486,-32.552757
Macquarie,LOCAL WATER UTILITY,80AL700023,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,300,A,148.810606,-32.430959
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700365,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,16,I,147.832931,-31.705921
Macquarie,SUPPLEMENTARY WATER,80AL700366,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1.2,I,147.832931,-31.705921
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700369,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,31550.5,I,148.236462,-32.220393
Macquarie,SUPPLEMENTARY WATER,80AL700370,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2587.2,I,148.236462,-32.220393
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700372,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2416,I,148.152051,-31.950007
Macquarie,SUPPLEMENTARY WATER,80AL700373,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,184.4,I,148.152051,-31.950007
