basin_name,Approval,Work Desc,SO,Catchment,Water Type,Water Source,X,Y
manning,20WA200965,OVERSHOT DAM [STORAGES],160,BARNARD RIVER,REG,HUNTER REGULATED RIVER WATER SOURCE,151.507513,-31.65768
manning,20WA200965,PUMPING PLANT [DIVERSION WORKS - PUMPS],64,ORHAM CREEK,REG,HUNTER REGULATED RIVER WATER SOURCE,151.501215,-31.65688
manning,20WA200965,PUMPING PLANT [DIVERSION WORKS - PUMPS],64,ORHAM CREEK,REG,HUNTER REGULATED RIVER WATER SOURCE,151.501215,-31.65688
manning,20WA200965,BYWASH DAM [STORAGES],64,ORHAM CREEK,REG,HUNTER REGULATED RIVER WATER SOURCE,151.504,-31.6685
manning,20WA200965,DIVERSION CHANNEL [DIVERSION WORKS - OTHER],160,BARNARD RIVER,REG,HUNTER REGULATED RIVER WATER SOURCE,151.504365,-31.65728
manning,20CA204341,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1216,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.978911,-32.02472
manning,20CA204343,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],832,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.96319,-32.07157
manning,20CA204345,65MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],896,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.956869,-32.06756
manning,20CA204347,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],192,DOG TRAP CREEK,UNREG,AVON RIVER WATER SOURCE,151.960571,-32.08968
manning,20CA204347,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],640,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.960571,-32.08968
manning,20CA204347,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],0,UNNAMED WATERCOURSE,UNREG,AVON RIVER WATER SOURCE,151.960571,-32.08968
manning,20CA204349,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],128,DOG TRAP CREEK,UNREG,AVON RIVER WATER SOURCE,151.965884,-32.09754
manning,20CA204351,100MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],512,WAUKIVORY CREEK,UNREG,AVON RIVER WATER SOURCE,151.967992,-32.06808
manning,20CA204353,100MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],224,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.911809,-32.1306
manning,20CA204353,100MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],0,UNNAMED WATERCOURSE,UNREG,AVON RIVER WATER SOURCE,151.911809,-32.1306
manning,20CA204355,38MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],248,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.916221,-32.12606
manning,20CA204357,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1200,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.974624,-32.03712
manning,20CA204359,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],192,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.904662,-32.12967
manning,20CA204361,50MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],284,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.926992,-32.1224
manning,20CA204363,65MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],320,WAUKIVORY CREEK,UNREG,AVON RIVER WATER SOURCE,152.056457,-32.09058
manning,20CA204365,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1312,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.974197,-32.01136
manning,20CA204367,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],960,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.959549,-32.06224
manning,20CA204371,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1024,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.970006,-32.06163
manning,20CA204371,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],640,WAUKIVORY CREEK,UNREG,AVON RIVER WATER SOURCE,151.970006,-32.06163
manning,20CA204373,65MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1152,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.966088,-32.04311
manning,20CA204373,BYWASH DAM [STORAGES],0,UNNAMED WATERCOURSE,UNREG,AVON RIVER WATER SOURCE,151.966088,-32.04311
manning,20CA204373,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],0,UNNAMED WATERCOURSE,UNREG,AVON RIVER WATER SOURCE,151.966088,-32.04311
manning,20CA204375,50MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],464,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.9469,-32.1073
manning,20CA204377,50MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],512,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.947573,-32.10689
manning,20CA204379,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],304,WAUKIVORY CREEK,UNREG,AVON RIVER WATER SOURCE,152.056575,-32.10159
manning,20CA204381,BYWASH DAM [STORAGES],,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.930144,-32.13254
manning,20CA204381,BYWASH DAM [STORAGES],0,UNNAMED WATERCOURSE,UNREG,AVON RIVER WATER SOURCE,151.936651,-32.13771
manning,20CA204381,50MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.930144,-32.13254
manning,20CA204381,50MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],0,UNNAMED WATERCOURSE,UNREG,AVON RIVER WATER SOURCE,151.936651,-32.13771
manning,20CA204381,EXCAVATION [STORAGES],,AVON RIVER,UNREG,AVON RIVER WATER SOURCE,151.929834,-32.13237
