catchment,exact_location,town_served,latitude,longitude,postcode,volume_treated(ML),HBT_index,population_served(No),WSDI,water_supply_risk,health_risk_dueto_poor_water_quality 
Macquarie,BATHURST,BATHURST,-33.4192822,149.5775008,2795,6757,0.14,42231,34,0.67,0.57
Macquarie,NYNGAN,BOGAN,-31.5662057,147.0707349,2825,737,0.45,2906.05,60,0.33,0.26
Macquarie,BREWARRINA,BREWARRINA,-29.9611741,146.8606479,2839,184,0.48,1629.45,30,0.17,0.26
Macquarie,MOLONG,CABONNE,-33.0921748,148.8690063,2866,231,0.41,1940.4,23,0.14,0.23
Macquarie,Yeoval,CABONNE,-32.75,148.65,2868,49,0.41,304.92,23,0.12,0.21
Macquarie,Quambone,COONAMBLE,-30.9368107,147.8409086,2831,34,0.37,170.48,30,0.15,0.19
Macquarie,JOHN GILBERT,DUBBO,-32.2656911,148.6189231,2830,8223,0.45,41934,55,0.77,0.72
Macquarie,DUCKMALOI,FISHRIVER,-33.8200912,149.9103707,2787,884,0.14,21416,44,0.47,0.32
Macquarie,TOTTENHAM,LACHLAN,-32.2449766,147.3554488,2873,10,0.36,744.37,37,0.19,0.19
Manning,Bootawa Dam Chlorinator,MIDCSTCC,-31.9237557,152.3682506,2430,7817,0,0,0,0,0
Manning,GLOUCESTER,MIDCSTCC,-32.0095585,151.9655011,2422,332,0.14,190.92,60,0.3,0.07
Macquarie,GULGONG,MIDWESTERN,-32.35,149.533333,2852,315,0.14,3386.74,53,0.3,0.11
Macquarie,Mudgee,MIDWESTERN,-32.6144566,149.5733291,2850,1648,0.14,16933.7,53,0.46,0.27
Macquarie,RYLSTONE,MIDWESTERN,-32.797121,149.9692936,2849,358,0.14,3870.56,53,0.31,0.11
Macquarie,Narromine,NARROMINE,-32.2320333,148.2393291,2821,1039,1,6822,40,0.28,0.58
Macquarie,OBERON,OBERON,-33.665617,149.778885,2787,616,0.14,5318,44,0.28,0.13
Macquarie,ICELY ROAD,ORANGE,-33.288876,149.119884,2800,4237,0.15,41809,1,0.5,0.57
Macquarie,Spring Hill/Lucknow,ORANGE,-33.263953,149.118907,2800,55,0.15,41809,1,0.5,0.57
Macquarie,Koralblah(Raw Water),WAKOOL,-31.2532183,146.921099,2000,8,0.51,3987,13,0.11,0.3
Macquarie,Carinda,WALGETT,-30.4074179,147.6655114,2831,115,0.35,6791,30,0.23,0.25
Macquarie,Nevertire,WARREN,-31.6927476,147.8458166,2824,35,1,2871.99,40,0.23,0.53
Macquarie,GEURIE,WELLINGTON,-32.202475,148.6310238,2830,120,0,8599,0,0.1,0.1
Macquarie,WELLINGTON,WELLINGTON,-32.5520391,148.9492902,2820,1092,0,8599,0,0.1,0.1
