valley_name,day,ONA_TWS,ONA_HS,ONA_GS,GS_OFA,FPH,annual_total_flow,annual_regulated_flow
Macquarie,01/01/1890,8.657,0,12.66,0,0,0,0
Macquarie,02/01/1890,36.092,0,154.54,0,0,1272.9,0
Macquarie,03/01/1890,36.092,0,2233.1,0,0,5742.3,6114.7
Macquarie,04/01/1890,36.156,0,2543.5,0,0,5559.8,6116.5
Macquarie,05/01/1890,50.831,0,3091.2,0,0,5972.6,6060.3
Macquarie,06/01/1890,72.319,0,3157,0,0,5983.1,6061.4
Macquarie,07/01/1890,106.33,0,3265.5,0,0,5914,5785.7
Macquarie,08/01/1890,126.59,0,3641.1,0,0,6036.3,6121
Macquarie,09/01/1890,77.327,0,4631.1,0,0,5776.6,5785.6
Macquarie,10/01/1890,112.82,0,4707.4,0,0,5524.5,5644.7
Macquarie,11/01/1890,116.16,0,4511,0,0,5360.1,5098.5
Macquarie,12/01/1890,75.158,0,2711.8,0,0,5868.9,5956.7
Macquarie,13/01/1890,75.159,0,0,0,0,5781.2,5637.8
Macquarie,14/01/1890,111.64,0,30.81,0,0,5928,5620
Macquarie,15/01/1890,205.14,0,2320.6,0,0,6128.6,6120.1
Macquarie,16/01/1890,76.558,0,2555.2,0,0,5804.1,5698.6
Macquarie,17/01/1890,76.558,0,2617.5,0,0,5764.2,5714
Macquarie,18/01/1890,76.559,0,2848.1,0,0,5758.2,5725
Macquarie,19/01/1890,76.558,0,3134.5,0,0,5824.4,5783.8
Macquarie,20/01/1890,76.558,0,4410.3,0,0,5834,5793.5
Macquarie,21/01/1890,76.558,0,4661.8,0,0,5811.2,5784.9
Macquarie,22/01/1890,76.558,0,4992,0,0,5800.9,5784.9
Macquarie,23/01/1890,76.559,0,4937,0,0,5801.1,5784.9
Macquarie,24/01/1890,76.558,0,4936.7,0,0,5761.4,5784.9
Macquarie,25/01/1890,76.558,0,4920.8,0,0,5646.2,5629.9
Macquarie,26/01/1890,76.558,0,4685,0,0,5575.1,5603
Macquarie,27/01/1890,76.558,0,4218,0,0,5377.4,5424.9
Macquarie,28/01/1890,76.559,0,4920.9,0,0,5168.2,5136.8
Macquarie,29/01/1890,76.558,0,4921,0,0,5095.9,5136.8
Macquarie,30/01/1890,76.558,0,4921,0,0,4902.1,4905.9
Macquarie,31/01/1890,76.558,0,4921,0,0,4574.6,4777.7
Macquarie,01/02/1890,72.232,0,2718.5,0,0,3938,3859.1
Macquarie,02/02/1890,72.25,0,2585.8,0,0,3899.4,3859.1
Macquarie,03/02/1890,72.251,0,628.76,0,0,3913.2,3840.4
Macquarie,04/02/1890,72.25,0,1187.4,0,0,3923.7,3837
Macquarie,05/02/1890,72.25,0,1554.9,0,0,3894.6,3840.4
Macquarie,06/02/1890,72.251,0,2662.8,0,0,3843.5,3838.7
Macquarie,07/02/1890,72.25,0,2692.4,0,0,3826.4,3811.9
Macquarie,08/02/1890,72.251,0,2693.5,0,0,3832.1,3811.9
Macquarie,09/02/1890,72.25,0,2580.6,0,0,3839.2,3811.9
Macquarie,10/02/1890,72.25,0,1321.3,0,0,4559.9,3811.9
Macquarie,11/02/1890,72.251,0,1370.4,0,0,4285.4,3804.2
Macquarie,12/02/1890,72.25,0,327.54,0,0,3801.3,3799.8
Macquarie,13/02/1890,72.251,0,0.25,0,0,5118.9,2585
Macquarie,14/02/1890,72.25,0,0.54,0,0,3794.8,2565
Macquarie,15/02/1890,72.25,0,461.72,0,0,2069.9,2136.8
Macquarie,16/02/1890,72.251,0,0,0,0,4808.1,1579.4
Macquarie,17/02/1890,72.25,0,0,0,0,8030.8,1738
Macquarie,18/02/1890,72.251,0,0,0,0,7603.3,1055.6
Macquarie,19/02/1890,72.25,0,0,0,0,3451.2,932.57
Macquarie,20/02/1890,72.25,0,0,0,0,2123.6,1290.6
Macquarie,21/02/1890,72.251,0,0,32.58,0,1723,711.12
Macquarie,22/02/1890,72.25,0,0,7.39,0,1302.5,715.74
Macquarie,23/02/1890,72.251,0,0,0,0,8037.2,599.34
Macquarie,24/02/1890,72.25,0,0,0,0,17636,585.54
Macquarie,25/02/1890,72.25,0,0,2565,0,16594,589.09
Macquarie,26/02/1890,72.251,0,0,2889,0,7095,584.15
Macquarie,27/02/1890,72.25,0,0,1171,0,4056.6,545.89
Macquarie,28/02/1890,72.251,0,0,929,0,2991.6,545.89
Macquarie,01/03/1890,60.356,0,0,255.5,0,4597,545.88
Macquarie,02/03/1890,60.357,0,0,309.08,0,7539.5,542.33
Macquarie,03/03/1890,60.357,0,0,0,0,10102,541.27
Macquarie,04/03/1890,60.356,0,0,0,0,9096.4,543.06
Macquarie,05/03/1890,60.357,0,0,72.71,0,5169.1,541.27
Macquarie,06/03/1890,60.357,0,0,296.85,0,3290.6,541.26
Macquarie,07/03/1890,60.357,0,0,438.79,0,2488,546.48
Macquarie,08/03/1890,60.356,0,0,248.72,0,2042.4,541.27
Macquarie,09/03/1890,60.357,0,0.5,463,0,1764,546.48
Macquarie,10/03/1890,60.357,0,1.28,0,0,1466.7,546.48
Macquarie,11/03/1890,60.356,0,0,0,0,2014.5,546.48
Macquarie,12/03/1890,60.357,0,0,0,0,15308,541.26
Macquarie,13/03/1890,60.357,0,0,702.25,0,30801,537.85
Macquarie,14/03/1890,60.357,0,0,2565,0,80213,537.85
Macquarie,15/03/1890,60.356,0,0,2889,0,69128,546.48
Macquarie,16/03/1890,60.357,0,0,3279.3,0,28436,546.48
Macquarie,17/03/1890,60.357,0,0,2992,0,11942,468.02
Macquarie,18/03/1890,60.356,0,0.22,1154,0,8474.4,468.02
Macquarie,19/03/1890,60.357,0,2.78,902.63,0,6799.6,468.02
Macquarie,20/03/1890,60.357,0,2.78,89.85,0,5642.2,468.02
Macquarie,21/03/1890,60.356,0,5.69,127.06,0,4837.9,468.02
Macquarie,22/03/1890,60.357,0,14.59,135.26,0,4279.5,468.02
Macquarie,23/03/1890,60.357,0,20.09,0,0,3855.2,468.01
Macquarie,24/03/1890,60.357,0,23.14,0,0,3432.5,468.02
Macquarie,25/03/1890,60.356,0,0,0,0,8211.3,468.02
Macquarie,26/03/1890,60.357,0,0,0,0,10380,928.02
Macquarie,27/03/1890,60.357,0,0,48.43,0,8930,363.48
Macquarie,28/03/1890,60.356,0,5.65,52.9,0,6171.1,366.91
Macquarie,29/03/1890,60.357,0,14.72,0,0,5345,372.12
Macquarie,30/03/1890,60.357,0,22.41,0,0,4155.7,317.23
Macquarie,31/03/1890,60.356,0,0,0,0,3398.4,317.23
