basin_name,Approval,Work Desc,SO,Catchment,Water Type,Water Source,X,Y
macquarie,10CA100050,125 * 100MM FORCE PUMP [DIVERSION WORKS - PUMPS],,BELUBULA RIVER,REG,BELUBULA REGULATED RIVER WATER SOURCE,148.50856,-32.76754
macquarie,80CA700371,915MM AXIAL FLOW PUMP [DIVERSION WORKS - PUMPS],7742,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.237684,-32.2207
macquarie,80CA700371,610MM AXIAL FLOW PUMP [DIVERSION WORKS - PUMPS],7742,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.237684,-32.2207
macquarie,80CA700474,100MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],14336,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.725904,-31.45504
macquarie,80CA700477,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],10432,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.090757,-31.90727
macquarie,80CA700480,65MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1984,CUDGEGONG RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,149.611311,-32.59183
macquarie,80CA700483,230MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],1734,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.689832,-32.38839
macquarie,80CA700487,100MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],320,DUCK CREEK,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.44362,-31.43498
macquarie,80CA700487,100MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],320,DUCK CREEK,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.44362,-31.43498
macquarie,80CA700487,BYWASH DAM [STORAGES],320,DUCK CREEK,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.44362,-31.43498
macquarie,80CA700487,BYWASH DAM [STORAGES],320,DUCK CREEK,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.44362,-31.43498
macquarie,80CA700492,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],4608,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.610077,-32.21382
macquarie,80CA700495,300MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],2304,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.623682,-32.33535
macquarie,80CA700497,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],13184,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.842749,-31.70111
macquarie,80CA700500,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],2752,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.623933,-32.29122
macquarie,80CA700503,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],2240,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,148.63698,-32.34802
macquarie,80CA700506,80MM CENTRIFUGAL PUMP [DIVERSION WORKS - PUMPS],13440,MACQUARIE RIVER,REG,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE,147.835496,-31.69006
