LGA,Industry Water Use,Serviced Population,Gross Regional Product,Irrigable Area,DSI Combined,FUI Combined,Ranking1,IndexRank
Goulburn Mulwaree,271,29550,1378,10609.61,0.02,0.05,0.59,1
Gosford,563,173138,6613,407.6,0,0.65,0.58,2
Singleton,1125,24071,4078,24461.54,0.44,0.16,0.57,3
Upper Hunter,549,14537,569,19498.56,0.44,0.16,0.54,4
Uralla,0,6411,185,6800.18,0.07,0.06,0.54,5
Wingecarribee,0,48028,9639,3168.24,0,0.23,0.54,6
Tenterfield,2,6986,219,5120.08,0.38,0.36,0.53,7
Lithgow,61,21416,1365,3016.37,0.06,0.25,0.53,8
Richmond Valley,1068,23181,673,23722.28,0.7,0.04,0.51,9
Mid-Western,56,24191,1757,4798.04,0.23,0.3,0.51,10
Muswellbrook,23,17209,2672,16376.59,0.44,0.16,0.51,11
Clarence Valley,368,51040,1728,33006.21,1,0,0.5,12
Palerang,0,15897,516,8503.01,0.41,0.01,0.43,13
Shoalhaven,1255,100147,4008,8145.2,0.71,0.15,0.42,14
Kyogle,28,9537,258,5355.78,0.7,0.04,0.37,15
Lismore,0,44741,2049,9749.75,1,0.03,0.33,16
Bega Valley,72,33475,1358,8533.64,0.97,0.07,0.33,17
Kempsey,241,29684,1261,9697.9,1,0,0.32,18
Port Macquarie-Hastings,29,78128,3143,7574.44,1,0,0.31,19
Walcha,0,3064,172,6276.37,1,0,0.3,20
Bombala,0,2430,117,5331.17,1,0,0.29,21
Armidale Dumaresq,0,25318,1252,5136.38,1,0.01,0.29,22
Eurobodalla,6,37882,1307,3638.69,0.96,0.01,0.29,23
Coffs Harbour,0,72971,3540,2639.99,1,0.04,0.28,24
Nambucca,42,19598,684,3504.86,1,0.01,0.28,25
Byron,0,32723,1466,2800.82,1,0.02,0.27,26
Guyra,169,4551,182,2411.22,1,0.01,0.27,27
Bellingen,133,13010,531,3049.35,1,0.01,0.27,28
Tweed,182,92460,2885,2792.75,1,0.02,0.27,29
Glen Innes Severn,0,8999,343,1667.52,1,0,0.26,30
Cooma-Monaro,55,10145,460,2265.89,1,0,0.26,31
Ballina,16,41828,1766,1085.77,1,0,0.25,32
Oberon,385,5318,238,297.72,1,0,0.21,33
Snowy River,27,8178,503,1923.27,1,0,0.16,34
