LGA,Industry Water Use,Serviced Population,Gross Regional Product,Unreg DSI,Unreg FUI,DSI Combined,FUI Combined,Ranking3,IndexRank
Wingecarribee,0,48028,9639,0,0.23,0,0.23,1,1
Gosford,563,173138,6613,0,0.65,0,0.65,0.86,2
Wyong,179,159981,5160,0.12,0.32,0.12,0.32,0.72,3
Goulburn Mulwaree,271,29550,1378,0.02,0.05,0.02,0.05,0.57,4
Lithgow,61,21416,1365,0.06,0.25,0.06,0.25,0.54,5
Singleton,1125,24071,4078,0.13,0.11,0.44,0.16,0.5,6
Mid-Western,56,24191,1757,0.12,0.02,0.23,0.3,0.48,7
Uralla,0,6411,185,0.07,0.06,0.07,0.06,0.47,8
Muswellbrook,23,17209,2672,0.02,0.17,0.44,0.16,0.42,9
Shoalhaven,1255,100147,4008,0.71,0.15,0.71,0.15,0.36,10
Palerang,0,15897,516,0.41,0.01,0.41,0.01,0.32,11
Tenterfield,2,6986,219,1,0.01,0.38,0.36,0.32,12
Upper Hunter,549,14537,569,0.18,0.06,0.44,0.16,0.31,13
Coffs Harbour,0,72971,3540,1,0.04,1,0.04,0.19,14
Richmond Valley,1068,23181,673,1,0.01,0.7,0.04,0.18,15
Port Macquarie-Hastings,29,78128,3143,1,0,1,0,0.17,16
Tweed,182,92460,2885,1,0.02,1,0.02,0.16,17
Kyogle,28,9537,258,1,0.01,0.7,0.04,0.16,18
Lismore,0,44741,2049,1,0.03,1,0.03,0.11,19
Eurobodalla,6,37882,1307,0.96,0.01,0.96,0.01,0.09,20
Clarence Valley,368,51040,1728,1,0,1,0,0.09,21
Ballina,16,41828,1766,1,0,1,0,0.09,22
Bega Valley,72,33475,1358,0.51,0.02,0.97,0.07,0.09,23
Byron,0,32723,1466,1,0.02,1,0.02,0.08,24
Kempsey,241,29684,1261,1,0,1,0,0.07,25
Armidale Dumaresq,0,25318,1252,1,0.01,1,0.01,0.07,26
Nambucca,42,19598,684,1,0.01,1,0.01,0.04,27
Bellingen,133,13010,531,1,0.01,1,0.01,0.03,28
Snowy River,27,8178,503,1,0,1,0,0.03,29
Glen Innes Severn,0,8999,343,1,0,1,0,0.02,30
Cooma-Monaro,55,10145,460,1,0,1,0,0.02,31
Oberon,385,5318,238,1,0,1,0,0.01,32
Walcha,0,3064,172,1,0,1,0,0.01,33
Guyra,169,4551,182,1,0.01,1,0.01,0.01,34
Bombala,0,2430,117,1,0,1,0,0,35
