LGA,Industry Water Use,Serviced Population,Gross Regional Product,Regulated DSI,Regulated FUI,DSI Combined,FUI Combined,Ranking3,IndexRank
Dubbo,32,41934,2363,0.23,0.3,0.23,0.3,0.51,1
Singleton,1125,24071,4078,0.44,0.16,0.44,0.16,0.5,2
Mid-Western,56,24191,1757,0.23,0.3,0.23,0.3,0.48,3
Gwydir,0,5068,191,0.1,0.42,0.1,0.42,0.46,4
Tamworth,1666,61121,2800,0.38,0.32,0.38,0.32,0.46,5
Cabonne,5,13860,772,0.22,0.27,0.22,0.27,0.43,6
Muswellbrook,23,17209,2672,0.44,0.16,0.44,0.16,0.42,7
Moree Plains,0,14053,773,0.24,0.39,0.24,0.39,0.42,8
Cobar,36,4975,518,0.22,0.27,0.22,0.27,0.42,9
Forbes,0,9754,382,0.22,0.27,0.22,0.27,0.41,10
Blayney,192,7380,378,0.22,0.27,0.22,0.27,0.41,11
Cowra,175,12476,433,0.22,0.27,0.22,0.27,0.41,12
Wellington,0,9073,273,0.23,0.3,0.23,0.3,0.4,13
Lachlan,0,6767,261,0.22,0.27,0.22,0.27,0.4,14
Narromine,0,6822,261,0.23,0.3,0.23,0.3,0.4,15
Warren,0,2901,125,0.23,0.3,0.23,0.3,0.39,16
Bogan,0,3059,187,0.23,0.3,0.23,0.3,0.39,17
Gilgandra,6.3,4368,155,0.23,0.3,0.23,0.3,0.39,18
Wagga Wagga,1125.9,63428,3597,0.61,0.42,0.61,0.42,0.39,19
Narrabri,0,13799,1003,0.38,0.32,0.38,0.32,0.36,20
Albury,226.4,51722,2498,0.55,0.43,0.55,0.43,0.36,21
Gunnedah,0,12805,661,0.38,0.32,0.38,0.32,0.34,22
Inverell,300,16936,637,0.38,0.36,0.38,0.36,0.34,23
Walgett,0,6791,266,0.38,0.32,0.38,0.32,0.32,24
Tenterfield,2,6986,219,0.38,0.36,0.38,0.36,0.32,25
Upper Hunter,549,14537,569,0.44,0.16,0.44,0.16,0.31,26
Balranald,0,2422,90,0.39,0.35,0.39,0.35,0.31,27
Carrathool,0,2733,125,0.42,0.35,0.42,0.35,0.3,28
Hay,0,2999,124,0.42,0.35,0.42,0.35,0.3,29
Corowa,998,11487,479,0.55,0.43,0.55,0.43,0.25,30
Berrigan,0,8416,265,0.55,0.43,0.55,0.43,0.24,31
Murray,5,7599,243,0.55,0.43,0.55,0.43,0.24,32
Greater Hume,0,10378,374,0.55,0.43,0.55,0.43,0.24,33
Wentworth,0,6883,396,0.55,0.43,0.55,0.43,0.24,34
Wakool,0,3987,174,0.55,0.43,0.55,0.43,0.23,35
Tumut,209,11408,586,0.61,0.42,0.61,0.42,0.22,36
Leeton,185,11645,527,0.61,0.42,0.61,0.42,0.22,37
Narrandera,0,5920,235,0.61,0.42,0.61,0.42,0.21,38
Gundagai,0,3756,152,0.61,0.42,0.61,0.42,0.2,39
Murrumbidgee,0,2558,105,0.61,0.42,0.61,0.42,0.2,40
Urana,50.04,1142,44,0.61,0.42,0.61,0.42,0.2,41
Harden,0,3706,139,0.61,0.42,0.61,0.42,0.2,42
Richmond Valley,1068,23181,673,0.7,0.04,0.7,0.04,0.18,43
Kyogle,28,9537,258,0.7,0.04,0.7,0.04,0.16,44
Bega Valley,72,33475,1358,0.97,0.07,0.97,0.07,0.09,45
