LGA,Industry Water Use,Serviced Population,Gross Regional Product,Irrigable Area,FUI Combined,Unassigned Groundwater,Ranking2,IndexRank
Clarence Valley,368,51040,1728,33006.21,0,143209,0.5,1
Gosford,563,173138,6613,407.6,0.65,3392,0.34,2
Shoalhaven,1255,100147,4008,8145.2,0.15,70530,0.32,3
Tenterfield,2,6986,219,5120.08,0.36,28354,0.28,4
Kyogle,28,9537,258,5355.78,0.04,68068,0.26,5
Richmond Valley,1068,23181,673,23722.28,0.04,58276,0.22,6
Wingecarribee,0,48028,9639,3168.24,0.23,27734,0.21,7
Mid-Western,56,24191,1757,4798.04,0.3,16037,0.21,8
Lithgow,61,21416,1365,3016.37,0.25,11677,0.17,9
Wyong,179,159981,5160,2950.21,0.32,2387,0.17,10
Upper Hunter,549,14537,569,19498.56,0.16,14030,0.13,11
Singleton,1125,24071,4078,24461.54,0.16,4842,0.1,12
Goulburn Mulwaree,271,29550,1378,10609.61,0.05,17999,0.09,13
Tweed,182,92460,2885,2792.75,0.02,21081,0.08,14
Muswellbrook,23,17209,2672,16376.59,0.16,1151,0.08,15
Palerang,0,15897,516,8503.01,0.01,18040,0.07,16
Bega Valley,72,33475,1358,8533.64,0.07,6330,0.06,17
Port Macquarie-Hastings,29,78128,3143,7574.44,0,13092,0.05,18
Coffs Harbour,0,72971,3540,2639.99,0.04,8093,0.05,19
Lismore,0,44741,2049,9749.75,0.03,9931,0.05,20
Kempsey,241,29684,1261,9697.9,0,12031,0.04,21
Byron,0,32723,1466,2800.82,0.02,7636,0.04,22
Uralla,0,6411,185,6800.18,0.06,1868,0.03,23
Ballina,16,41828,1766,1085.77,0,8183,0.03,24
Eurobodalla,6,37882,1307,3638.69,0.01,4275,0.02,25
Oberon,385,5318,238,297.72,0,5387,0.02,26
Snowy River,27,8178,503,1923.27,0,4617,0.02,27
Armidale Dumaresq,0,25318,1252,5136.38,0.01,3129,0.02,28
Glen Innes Severn,0,8999,343,1667.52,0,3017,0.01,29
Cooma-Monaro,55,10145,460,2265.89,0,3234,0.01,30
Nambucca,42,19598,684,3504.86,0.01,1287,0.01,31
Bombala,0,2430,117,5331.17,0,3194,0.01,32
Guyra,169,4551,182,2411.22,0.01,2678,0.01,33
Bellingen,133,13010,531,3049.35,0.01,2924,0.01,34
Walcha,0,3064,172,6276.37,0,3260,0.01,35
