LGA,Industry Water Use,Serviced Population,Gross Regional Product,DSI Combined,Ranking3,IndexRank
Wingecarribee,0,48028,9639,0,1,1
Gosford,563,173138,6613,0,0.86,2
Wyong,179,159981,5160,0.12,0.72,3
Goulburn Mulwaree,271,29550,1378,0.02,0.57,4
Lithgow,61,21416,1365,0.06,0.54,5
Dubbo,32,41934,2363,0.23,0.51,6
Singleton,1125,24071,4078,0.44,0.5,7
Mid-Western,56,24191,1757,0.23,0.48,8
Uralla,0,6411,185,0.07,0.47,9
Gwydir,0,5068,191,0.1,0.46,10
Tamworth,1666,61121,2800,0.38,0.46,11
Cabonne,5,13860,772,0.22,0.43,12
Cobar,36,4975,518,0.22,0.42,13
Muswellbrook,23,17209,2672,0.44,0.42,14
Moree Plains,0,14053,773,0.24,0.42,15
Forbes,0,9754,382,0.22,0.41,16
Cowra,175,12476,433,0.22,0.41,17
Blayney,192,7380,378,0.22,0.41,18
Narromine,0,6822,261,0.23,0.4,19
Wellington,0,9073,273,0.23,0.4,20
Lachlan,0,6767,261,0.22,0.4,21
Bogan,0,3059,187,0.23,0.39,22
Warren,0,2901,125,0.23,0.39,23
Wagga Wagga,1125.9,63428,3597,0.61,0.39,24
Gilgandra,6.3,4368,155,0.23,0.39,25
Albury,226.4,51722,2498,0.55,0.36,26
Shoalhaven,1255,100147,4008,0.71,0.36,27
Narrabri,0,13799,1003,0.38,0.36,28
Gunnedah,0,12805,661,0.38,0.34,29
Inverell,300,16936,637,0.38,0.34,30
Walgett,0,6791,266,0.38,0.32,31
Palerang,0,15897,516,0.41,0.32,32
Tenterfield,2,6986,219,0.38,0.32,33
Upper Hunter,549,14537,569,0.44,0.31,34
Balranald,0,2422,90,0.39,0.31,35
Carrathool,0,2733,125,0.42,0.3,36
Hay,0,2999,124,0.42,0.3,37
Corowa,998,11487,479,0.55,0.25,38
Greater Hume,0,10378,374,0.55,0.24,39
Berrigan,0,8416,265,0.55,0.24,40
Murray,5,7599,243,0.55,0.24,41
Wentworth,0,6883,396,0.55,0.24,42
Wakool,0,3987,174,0.55,0.23,43
Tumut,209,11408,586,0.61,0.22,44
Leeton,185,11645,527,0.61,0.22,45
Narrandera,0,5920,235,0.61,0.21,46
Murrumbidgee,0,2558,105,0.61,0.2,47
Harden,0,3706,139,0.61,0.2,48
Urana,50.04,1142,44,0.61,0.2,49
Gundagai,0,3756,152,0.61,0.2,50
Coffs Harbour,0,72971,3540,1,0.19,51
Richmond Valley,1068,23181,673,0.7,0.18,52
Port Macquarie-Hastings,29,78128,3143,1,0.17,53
Tweed,182,92460,2885,1,0.16,54
Kyogle,28,9537,258,0.7,0.16,55
Lismore,0,44741,2049,1,0.11,56
Eurobodalla,6,37882,1307,0.96,0.09,57
Bega Valley,72,33475,1358,0.97,0.09,58
Clarence Valley,368,51040,1728,1,0.09,59
Ballina,16,41828,1766,1,0.09,60
Byron,0,32723,1466,1,0.08,61
Armidale Dumaresq,0,25318,1252,1,0.07,62
Kempsey,241,29684,1261,1,0.07,63
Nambucca,42,19598,684,1,0.04,64
Bellingen,133,13010,531,1,0.03,65
Snowy River,27,8178,503,1,0.03,66
Cooma-Monaro,55,10145,460,1,0.02,67
Glen Innes Severn,0,8999,343,1,0.02,68
Guyra,169,4551,182,1,0.01,69
Oberon,385,5318,238,1,0.01,70
Walcha,0,3064,172,1,0.01,71
Bombala,0,2430,117,1,0,72
