LGA,Serviced Population,Gross Regional Product,WSDI,Ranking5,Secure Yield,Projected Demand,IndexRank
Kyogle,9537,258,98,0.88,2935.71,3669.64,1
Bellingen,13010,531,90,0.81,119.38,1193.84,2
Tumbarumba,3586,174,80,0.72,60.33,301.63,3
Broken Hill,18856,1006,70,0.64,1187.85,3959.51,4
Greater Taree,49095,1518,60,0.57,332.7,361.64,5
Great Lakes,36720,1186,60,0.56,2757.46,2902.59,6
Bogan,3059,187,60,0.54,138.95,347.39,7
Cobar,4975,518,60,0.54,268.96,672.4,8
Gloucester,5160,261,60,0.54,344.95,574.92,9
Dubbo,41934,2363,55,0.52,1239.79,1347.59,10
Port Macquarie-Hastings,78128,3143,53,0.52,2651.31,5891.8,11
Parkes,15337,709,55,0.5,480.85,601.07,12
Wellington,9073,273,55,0.5,452.61,1005.81,13
Mid-Western,24191,1757,53,0.49,380.15,413.21,14
Cowra,12476,433,46,0.42,4474.29,4863.36,15
Forbes,9754,382,46,0.42,2984.92,4145.72,16
Guyra,4551,182,47,0.42,1775.31,1929.68,17
Blayney,7380,378,45,0.41,517.28,940.51,18
Lithgow,21416,1365,44,0.41,3324.42,4005.32,19
Weddin,3701,127,45,0.41,214.9,390.73,20
Oberon,5318,238,44,0.4,434.29,723.81,21
Upper Hunter,14537,569,40,0.37,1576.76,2627.93,22
Glen Innes Severn,8999,343,40,0.36,490.64,577.22,23
Narromine,6822,261,40,0.36,918.58,998.45,24
Warren,2901,125,40,0.36,334.61,557.68,25
Lachlan,6767,261,37,0.34,7.95,397.31,26
Bathurst,42231,1963,34,0.33,4940.79,7486.04,27
Central Darling,2088,96,35,0.32,361.23,555.74,28
Tweed,92460,2885,30,0.32,7818.32,11169.03,29
Tamworth,61121,2800,30,0.3,7717.45,11024.93,30
Eurobodalla,37882,1307,28,0.28,3373.31,7496.24,31
Bombala,2430,117,30,0.27,203.15,290.21,32
Boorowa,2625,105,30,0.27,159.63,228.05,33
Bourke,2876,152,30,0.27,2975,4250,34
Brewarrina,1917,57,30,0.27,1016.1,1451.58,35
Coonamble,4262,176,30,0.27,880.12,988.89,36
Upper Lachlan,7876,239,30,0.27,286.27,408.96,37
Uralla,6411,185,30,0.27,200.64,286.63,38
Walcha,3064,172,30,0.27,110.5,157.86,39
Walgett,6791,266,30,0.27,1708.46,2440.66,40
Warrumbungle,9728,316,30,0.27,430.8,615.42,41
Moree Plains,14053,773,25,0.23,1064.85,2265.65,42
Richmond Valley,23181,673,25,0.23,5544.79,5836.62,43
Cabonne,13860,772,23,0.21,224.32,291.33,44
Bega Valley,33475,1358,20,0.2,3318.48,4148.1,45
Kempsey,29684,1261,20,0.19,922.52,1002.74,46
Palerang,15897,516,20,0.18,6659.64,6726.91,47
Ballina,41828,1766,17,0.17,3530.66,4253.8,48
Byron,32723,1466,17,0.17,4094.71,4933.39,49
Lismore,44741,2049,17,0.17,1747.2,2008.28,50
Gilgandra,4368,155,15,0.14,730.24,1352.29,51
Griffith,25986,1372,13,0.13,1081.34,2703.34,52
Wentworth,6883,396,14,0.13,1078.99,1254.64,53
Yass Valley,16564,567,14,0.13,922.92,1073.16,54
Balranald,2422,90,13,0.12,434.91,499.89,55
Berrigan,8416,265,13,0.12,1470.02,1689.68,56
Carrathool,2733,125,13,0.12,516.48,593.65,57
Jerilderie,1526,75,13,0.12,2164.37,2186.24,58
Leeton,11645,527,13,0.12,748.28,1187.74,59
Wakool,3987,174,13,0.12,808.68,929.52,60
Albury,51722,2498,9,0.11,6200.23,6739.38,61
Gosford,173138,6613,1,0.11,105.42,263.55,62
Wagga Wagga,63428,3597,8,0.11,11792.6,12818.05,63
Wyong,159981,5160,1,0.11,19062.65,19255.2,64
Coffs Harbour,72971,3540,7,0.1,7060.01,7591.41,65
Clarence Valley,51040,1728,7,0.09,6580.17,7075.45,66
Gwydir,5068,191,10,0.09,219.11,413.42,67
Narrabri,13799,1003,10,0.09,1542.86,1558.44,68
Corowa,11487,479,8,0.08,465.25,505.71,69
Gunnedah,12805,661,8,0.08,464.94,505.37,70
Murray,7599,243,8,0.08,1856.39,2475.18,71
Muswellbrook,17209,2672,8,0.08,399.28,399.28,72
Young,12588,504,8,0.08,1045.28,1136.18,73
Bland,5959,313,8,0.07,770.75,837.78,74
Coolamon,4342,121,8,0.07,667.52,725.56,75
Cootamundra,7705,288,8,0.07,549.16,784.52,76
Deniliquin,7429,354,8,0.07,1119.72,2073.56,77
Greater Hume,10378,374,8,0.07,2498.87,6247.18,78
Gundagai,3756,152,8,0.07,4757.38,5468.26,79
Harden,3706,139,8,0.07,438.42,487.13,80
Hay,2999,124,8,0.07,767.91,834.68,81
Junee,6230,211,8,0.07,309.27,355.48,82
Lockhart,3025,107,8,0.07,774.32,782.14,83
Narrandera,5920,235,8,0.07,1197.77,1330.85,84
Queanbeyan,40657,1626,5,0.07,3554.08,7561.87,85
Shoalhaven,100147,4008,1,0.07,17044.93,17217.1,86
Temora,6071,250,8,0.07,914.31,993.82,87
Urana,1142,44,8,0.07,134.23,145.9,88
Goulburn Mulwaree,29550,1378,5,0.06,15702.25,15860.86,89
