LGA,Industry Water Use,Serviced Population,Gross Regional Product,WSDI,Secure Yield,Projected Demand 2036,Ranking6,IndexRank
Parkes,1920,15337,709,55,480.85,601.07,0.78,1
Oberon,385,5318,238,44,434.29,723.81,0.55,2
Kyogle,28,9537,258,98,2935.71,3669.64,0.53,3
Bellingen,133,13010,531,90,119.38,1193.84,0.52,4
Guyra,169,4551,182,47,1775.31,1929.68,0.46,5
Tumbarumba,6.7,3586,174,80,60.33,301.63,0.42,6
Richmond Valley,1068,23181,673,25,5544.79,5836.62,0.35,7
Upper Hunter,549,14537,569,40,1576.76,2627.93,0.34,8
Blayney,192,7380,378,45,517.28,940.51,0.33,9
Cobar,36,4975,518,60,268.96,672.4,0.32,10
Bogan,0,3059,187,60,138.95,347.39,0.3,11
Mid-Western,56,24191,1757,53,380.15,413.21,0.28,12
Wellington,0,9073,273,55,452.61,1005.81,0.28,13
Tamworth,1666,61121,2800,30,7717.45,11024.93,0.28,14
Dubbo,32,41934,2363,55,1239.79,1347.59,0.28,15
Bathurst,1003,42231,1963,34,4940.79,7486.04,0.27,16
Port Macquarie-Hastings,29,78128,3143,53,2651.31,5891.8,0.27,17
Cowra,175,12476,433,46,4474.29,4863.36,0.27,18
Singleton,1125,24071,4078,1,3105.15,3136.52,0.26,19
Lithgow,61,21416,1365,44,3324.42,4005.32,0.24,20
Weddin,1,3701,127,45,214.9,390.73,0.23,21
Corowa,998,11487,479,8,465.25,505.71,0.23,22
Forbes,0,9754,382,46,2984.92,4145.72,0.23,23
Glen Innes Severn,0,8999,343,40,490.64,577.22,0.2,24
Warren,0,2901,125,40,334.61,557.68,0.2,25
Narromine,0,6822,261,40,918.58,998.45,0.2,26
Lachlan,0,6767,261,37,7.95,397.31,0.19,27
Tweed,182,92460,2885,30,7818.32,11169.03,0.16,28
Bourke,0,2876,152,30,2975,4250,0.15,29
Boorowa,0,2625,105,30,159.63,228.05,0.15,30
Warrumbungle,0,9728,316,30,430.8,615.42,0.15,31
Walcha,0,3064,172,30,110.5,157.86,0.15,32
Bombala,0,2430,117,30,203.15,290.21,0.15,33
Coonamble,0,4262,176,30,880.12,988.89,0.15,34
Walgett,0,6791,266,30,1708.46,2440.66,0.15,35
Uralla,0,6411,185,30,200.64,286.63,0.15,36
Brewarrina,0,1917,57,30,1016.1,1451.58,0.15,37
Upper Lachlan,0,7876,239,30,286.27,408.96,0.15,38
Eurobodalla,6,37882,1307,28,3373.31,7496.24,0.14,39
Urana,50.04,1142,44,8,134.23,145.9,0.14,40
Kempsey,241,29684,1261,20,922.52,1002.74,0.14,41
Moree Plains,0,14053,773,25,1064.85,2265.65,0.13,42
Cabonne,5,13860,772,23,224.32,291.33,0.13,43
Leeton,185,11645,527,13,748.28,1187.74,0.11,44
Tumut,209,11408,586,4,1069.49,1114.06,0.11,45
Inverell,300,16936,637,1,737.81,801.97,0.11,46
Bega Valley,72,33475,1358,20,3318.48,4148.1,0.11,47
Palerang,0,15897,516,20,6659.64,6726.91,0.1,48
Lockhart,75.06,3025,107,8,774.32,782.14,0.1,49
Ballina,16,41828,1766,17,3530.66,4253.8,0.09,50
Byron,0,32723,1466,17,4094.71,4933.39,0.09,51
Goulburn Mulwaree,271,29550,1378,5,15702.25,15860.86,0.09,52
Wagga Wagga,1125.9,63428,3597,8,11792.6,12818.05,0.09,53
Lismore,0,44741,2049,17,1747.2,2008.28,0.09,54
Young,110,12588,504,8,1045.28,1136.18,0.09,55
Clarence Valley,368,51040,1728,7,6580.17,7075.45,0.08,56
Gilgandra,6.3,4368,155,15,730.24,1352.29,0.08,57
Cooma-Monaro,55,10145,460,11,880.1,989,0.08,58
Wentworth,0,6883,396,14,1078.99,1254.64,0.07,59
Berrigan,0,8416,265,13,1470.02,1689.68,0.07,60
Shoalhaven,1255,100147,4008,1,17044.93,17217.1,0.07,61
Balranald,0,2422,90,13,434.91,499.89,0.07,62
Griffith,0,25986,1372,13,1081.34,2703.34,0.07,63
Yass Valley,0,16564,567,14,922.92,1073.16,0.07,64
Carrathool,0,2733,125,13,516.48,593.65,0.07,65
Wakool,0,3987,174,13,808.68,929.52,0.07,66
Albury,226.4,51722,2498,9,6200.23,6739.38,0.06,67
Cootamundra,29,7705,288,8,549.16,784.52,0.06,68
Narrabri,0,13799,1003,10,1542.86,1558.44,0.05,69
Gwydir,0,5068,191,10,219.11,413.42,0.05,70
Muswellbrook,23,17209,2672,8,399.28,399.28,0.05,71
Queanbeyan,140,40657,1626,5,3554.08,7561.87,0.05,72
Coolamon,1.92,4342,121,8,667.52,725.56,0.04,73
Deniliquin,0,7429,354,8,1119.72,2073.56,0.04,74
Greater Hume,0,10378,374,8,2498.87,6247.18,0.04,75
Harden,0,3706,139,8,438.42,487.13,0.04,76
Temora,2.82,6071,250,8,914.31,993.82,0.04,77
Bland,2.77,5959,313,8,770.75,837.78,0.04,78
Gunnedah,0,12805,661,8,464.94,505.37,0.04,79
Hay,0,2999,124,8,767.91,834.68,0.04,80
Narrandera,0,5920,235,8,1197.77,1330.85,0.04,81
Murray,5,7599,243,8,1856.39,2475.18,0.04,82
Coffs Harbour,0,72971,3540,7,7060.01,7591.41,0.04,83
Gundagai,0,3756,152,8,4757.38,5468.26,0.04,84
Junee,2.49,6230,211,8,309.27,355.48,0.04,85
Liverpool Plains,45,7759,8601,1,1449.47,2588.34,0.04,86
Gosford,563,173138,6613,1,105.42,263.55,0.03,87
Snowy River,27,8178,503,1,1084.25,1095.2,0.03,88
Orange,79,41809,2646,1,122.23,218.27,0.02,89
Nambucca,42,19598,684,1,2235.1,2429.45,0.02,90
Wingecarribee,0,48028,9639,1,4675.38,4722.61,0.01,91
Wyong,179,159981,5160,1,19062.65,19255.2,0.01,92
Tenterfield,2,6986,219,1,462.33,467,0.01,93
Armidale Dumaresq,0,25318,1252,0,3215.56,3215.56,0,94
Murrumbidgee,0,2558,105,0,1291.91,1404.25,0,95
