LGA,Industry Water Use,Serviced Population,Gross Regional Product,HBT,Boiled Water Alert,Ranking8,IndexRank
Clarence Valley,368,51040,1728,1,10,0.93,1
Bega Valley,72,33475,1358,1,6,0.92,2
Nambucca,42,19598,684,1,0,0.91,3
Gunnedah,0,12805,661,1,0,0.91,4
Snowy River,27,8178,503,0.99,3,0.9,5
Warren,0,2901,125,1,2,0.9,6
Narromine,0,6822,261,1,2,0.9,7
Narrandera,0,5920,235,1,2,0.9,8
Murrumbidgee,0,2558,105,1,3,0.9,9
Port Macquarie-Hastings,29,78128,3143,0.91,0,0.86,10
Bellingen,133,13010,531,0.9,0,0.82,11
Narrabri,0,13799,1003,0.86,0,0.78,12
Moree Plains,0,14053,773,0.84,5,0.76,13
Upper Hunter,549,14537,569,0.83,1,0.75,14
Liverpool Plains,45,7759,8601,0.74,2,0.67,15
Kempsey,241,29684,1261,0.72,0,0.66,16
Coffs Harbour,0,72971,3540,0.57,0,0.55,17
Palerang,0,15897,516,0.59,2,0.54,18
Bourke,0,2876,152,0.58,0,0.52,19
Bland,2.77,5959,313,0.57,0,0.52,20
Cootamundra,29,7705,288,0.57,0,0.52,21
Young,110,12588,504,0.57,1,0.52,22
Temora,2.82,6071,250,0.57,0,0.52,23
Junee,2.49,6230,211,0.57,0,0.52,24
Harden,0,3706,139,0.57,1,0.51,25
Cobar,36,4975,518,0.53,0,0.48,26
Wagga Wagga,1125.9,63428,3597,0.47,1,0.46,27
Wakool,0,3987,174,0.51,1,0.46,28
Greater Hume,0,10378,374,0.47,0,0.43,29
Leeton,185,11645,527,0.47,0,0.43,30
Brewarrina,0,1917,57,0.48,1,0.43,31
Dubbo,32,41934,2363,0.45,2,0.43,32
Griffith,0,25986,1372,0.45,0,0.42,33
Urana,50.04,1142,44,0.47,1,0.42,34
Muswellbrook,23,17209,2672,0.46,2,0.42,35
Lockhart,75.06,3025,107,0.47,1,0.42,36
Coolamon,1.92,4342,121,0.47,0,0.42,37
Bogan,0,3059,187,0.45,0,0.41,38
Balranald,0,2422,90,0.45,1,0.41,39
Wentworth,0,6883,396,0.45,2,0.41,40
Deniliquin,0,7429,354,0.45,0,0.41,41
Berrigan,0,8416,265,0.45,0,0.41,42
Murray,5,7599,243,0.45,0,0.41,43
Corowa,998,11487,479,0.45,1,0.41,44
Hay,0,2999,124,0.45,0,0.41,45
Warrumbungle,0,9728,316,0.44,1,0.4,46
Parkes,1920,15337,709,0.43,0,0.4,47
Cabonne,5,13860,772,0.41,0,0.38,48
Wyong,179,159981,5160,0.29,1,0.35,49
Coonamble,0,4262,176,0.37,0,0.33,50
Lachlan,0,6767,261,0.36,3,0.33,51
Walgett,0,6791,266,0.35,3,0.32,52
Albury,226.4,51722,2498,0.29,2,0.29,53
Bombala,0,2430,117,0.28,0,0.25,54
Gosford,563,173138,6613,0.14,2,0.23,55
Cooma-Monaro,55,10145,460,0.23,0,0.21,56
Eurobodalla,6,37882,1307,0.19,0,0.19,57
Tweed,182,92460,2885,0.14,0,0.18,58
Shoalhaven,1255,100147,4008,0.14,0,0.18,59
Tamworth,1666,61121,2800,0.15,0,0.17,60
Inverell,300,16936,637,0.17,0,0.16,61
Orange,79,41809,2646,0.15,0,0.16,62
Wingecarribee,0,48028,9639,0.14,0,0.15,63
Queanbeyan,140,40657,1626,0.14,0,0.15,64
Bathurst,1003,42231,1963,0.14,1,0.15,65
Goulburn Mulwaree,271,29550,1378,0.14,1,0.14,66
Armidale Dumaresq,0,25318,1252,0.14,0,0.14,67
Gwydir,0,5068,191,0.15,3,0.14,68
Mid-Western,56,24191,1757,0.14,4,0.14,69
Lithgow,61,21416,1365,0.14,1,0.14,70
Forbes,0,9754,382,0.14,0,0.13,71
Blayney,192,7380,378,0.14,0,0.13,72
Kyogle,28,9537,258,0.14,0,0.13,73
Weddin,1,3701,127,0.14,0,0.13,74
Glen Innes Severn,0,8999,343,0.14,0,0.13,75
Cowra,175,12476,433,0.14,2,0.13,76
Tenterfield,2,6986,219,0.14,1,0.13,77
Gilgandra,6.3,4368,155,0.14,0,0.13,78
Oberon,385,5318,238,0.14,1,0.13,79
Yass Valley,0,16564,567,0.14,1,0.13,80
Gundagai,0,3756,152,0.14,0,0.13,81
Guyra,169,4551,182,0.14,0,0.13,82
Wellington,0,9073,273,0.14,0,0.13,83
Boorowa,0,2625,105,0.14,1,0.13,84
Tumbarumba,6.7,3586,174,0.13,1,0.12,85
Richmond Valley,1068,23181,673,0.11,0,0.11,86
Carrathool,0,2733,125,0.1,1,0.09,87
Lismore,0,44741,2049,0.06,0,0.08,88
Byron,0,32723,1466,0.04,0,0.05,89
Singleton,1125,24071,4078,0.04,0,0.05,90
Uralla,0,6411,185,0.04,1,0.04,91
Ballina,16,41828,1766,0.01,0,0.03,92
Tumut,209,11408,586,0,0,0.01,93
Walcha,0,3064,172,0,0,0,94
Upper Lachlan,0,7876,239,0,2,0,95
