LGA,Industry Water Use,Serviced Population,Gross Regional Product,HBT,Projected 2036 Population,WWQI,Category 1,Category 2,Category 3,Ranking9,IndexRank
Wingecarribee,0,48028,9639,0.14,51539,1,185.1,0.8,21.7,0.57,1
Narrabri,0,13799,1003,0.86,8925,0.53,4,0,0,0.47,2
Wakool,0,3987,174,0.51,2278,0.63,0,0,0,0.37,3
Eurobodalla,6,37882,1307,0.19,55688,1,43,72.4,1,0.34,4
Liverpool Plains,45,7759,8601,0.74,7212,0.68,0.9,0,0,0.32,5
Muswellbrook,23,17209,2672,0.46,16066,0.71,9,2.4,0.2,0.31,6
Singleton,1125,24071,4078,0.04,17899,0.69,3.8,0.7,0,0.31,7
Shoalhaven,1255,100147,4008,0.14,130951,0.93,561.3,5.3,0,0.29,8
Tumut,209,11408,586,0,9472,0.77,10,0,0,0.23,9
Brewarrina,0,1917,57,0.48,1216,0.78,0.2,0,0,0.22,10
Bombala,0,2430,117,0.28,1653,0.8,5.9,0,0,0.2,11
Wyong,179,159981,5160,0.29,208962,0.95,0.1,34.1,0,0.19,12
Albury,226.4,51722,2498,0.29,65964,0.86,12.4,7.7,0.1,0.18,13
Tenterfield,2,6986,219,0.14,4650,0.83,0.9,0.1,0,0.17,14
Warren,0,2901,125,1,1729,0.84,0.4,0,0,0.16,15
Coonamble,0,4262,176,0.37,3257,0.85,0.2,0,0,0.15,16
Gundagai,0,3756,152,0.14,1848,0.9,9.8,1,0.4,0.12,17
Cabonne,5,13860,772,0.41,3310,0.88,0.5,0,0,0.12,18
Bogan,0,3059,187,0.45,2290,0.88,0,0,0,0.12,19
Harden,0,3706,139,0.57,2532,0.9,0,0.3,0,0.1,20
Nambucca,42,19598,684,1,16133,0.92,50.9,0.5,0,0.1,21
Orange,79,41809,2646,0.15,48858,0.94,31,4.3,0.3,0.1,22
Kyogle,28,9537,258,0.14,4229,0.91,0,0,0,0.09,23
Gunnedah,0,12805,661,1,11496,0.97,0.8,0,2,0.08,24
