water_sources,irrigated_area,population,irrigation_value,mining_value,employment_irrigation,employment_mining,total_entitlement,wetland_area,dissolved_oxygen,mean_flow,variation,median,days_below_mean,DSI,100_yrs_flood_frequency,time_below_requirement,FUI,water_scarcity,health_of_water_bodies_ population  
Backwater Boggy Cowal Water Source,12692.64787,3029,70593593,2.28,321,25,2627,2646.6,85.9,145.9,11.09,0.64,0.93,83.9,0.01,0.08,4.93,17581.06,0.553162155
Bell River Water Source,509.9266643,13155,29958130,68.93,258,629,8136,0,85.3,304.96,5.12,47.71,0.85,83.1,0.01,0.08,7.31,8716.3,0.625071498
Bulbodney Grahway Creek Water Source,0,2530,59113543,2.49,287,23,8816,1076.46,86.3,149.83,7.01,0,0.92,78.7,0.01,0.32,14.49,21615.15,0.540472046
Burrendong Dam Tributaries Water Source,0,9826,22706758,124.71,252,1104,577,6473.46,97.3,333.54,7.04,27,0.84,78.8,0.01,0.01,0.47,12426.81,0.310004939
Campbells River Water Source,159.8132512,4713,11013942,10.85,105,102,2101,144.73,97.1,228.3,4.46,48.08,0.81,75.4,0,0,2.52,17680.53,0.286114026
Coolbaggie Creek Water Source,877.2138134,6288,16337866,6.91,132,66,466,184.6,85.9,68.41,11.09,0.3,0.93,83.9,0.01,0.03,1.87,4703.39,0.57153773
Cooyal Wialdra Creek Water Source,91.25207614,2502,6538195,66.5,85,587,741,4.73,79.9,77.64,9.2,2.54,0.89,89,0.01,0.02,2.61,11326.26,0.698338862
Ewenmar Creek Water Source,6160.487664,1778,37400805,0.96,184,10,65125,13939.93,85.9,90.98,11.09,0.4,0.93,83.9,0.01,0.08,3.88,18677.66,0.546108506
Fish River Water Source,18.25237449,5574,10427061,35.22,104,327,18070.5,298.69,97.1,257.24,2.69,89,0.78,85.6,0.01,0.09,19.25,16844.95,0.290968696
Goolma Creek Water Source,0,2939,6403979,24.4,67,217,0,1412.69,79.9,10.09,9.2,0.33,0.89,89,0.01,0,0,1253.48,0.700802847
Lawsons Creek Water Source,128.0991786,2000,5213902,53.21,68,469,1496,743.32,100.2,47.35,12.22,6.37,0.92,89.8,0.01,0.06,8.66,9121.02,0.194273813
Little River Water Source,636.0286631,9302,46926529,22.61,397,204,2270,0,107,97.47,6.18,7,0.87,82.2,0.01,0.11,6.38,4132.85,0.06754424
Lower Bogan River Water Source,1610.27661,1491,31114808,0.16,154,2,42208,245215.36,86.3,156.05,7.01,0,0.92,78.7,0.01,0.66,72.47,38201.01,0.534613739
Lower Macquarie River Water Source,4394.995041,926,33632155,0.14,123,1,48616,237878.17,98.2,231.64,2.86,41.49,0.83,76.3,0.29,0.65,57.5,91305.29,0.237600878
Lower Talbragar River Water Source,566.5158438,12819,34870381,14.3,304,137,2251,0,75.4,94.48,8.77,4.42,0.88,83.6,0.02,0.18,6.53,2803.54,0.867621437
Macquarie River above Burrendong Water Source,543.6345003,10960,14595597,32.85,143,307,25586,1.32,105.2,548.27,4.46,61.37,0.82,78,0,0.15,12.79,18258.83,0.121337166
Marra Creek Water Source,1776.836298,826,29846694,0.13,116,1,311.5,46236.58,98.2,4.91,3.29,0,0.92,100,0,0,17.4,2167.48,0.237037037
Marthaguy Creek Water Source,3289.826898,2613,67868338,0.26,303,3,7608,29652.47,89.6,204.5,4.58,0.86,0.87,81.4,0.03,0.26,10.19,28566.31,0.459458553
Maryvale Geurie Creek Water Source,1092.711442,5112,10278147,5.68,93,54,639,4.55,84.4,29.93,6.18,2.15,0.87,82.2,0.01,0.1,5.85,2930.36,0.601943998
Molong Creek Water Source,479.9319731,1646,7314969,13.25,60,120,5616,27.42,85.3,69.99,4.66,9.77,0.85,78.8,0,0.22,21.98,15521.31,0.560179051
Piambong Creek Water Source,344.3737048,2332,6078416,62.03,79,547,925,1092.51,79.9,4.66,9.2,0.15,0.89,89,0.01,0.61,54.4,1212.44,0.697380333
Pipeclay Creek Water Source,503.0571364,875,2279828,23.26,30,205,446,65.62,100.2,17.47,13.75,1.55,0.93,91.5,0.01,0.08,7,7794.94,0.187930603
Queen Charlottes Vale Evans Plains Creek Water Source,139.4763893,6395,9717907,19.02,95,178,1925,13.2,97.1,72.18,4.24,12,0.85,82.2,0,0.03,7.31,4119.66,0.29559783
Summerhill Creek Water Source,197.3106387,36297,35049240,370.47,287,3369,11744,304.37,105.2,193.51,4.66,27,0.85,78.8,0,0.13,16.63,1945.95,0.264197531
Turon Crudine River Water Source,2.216484204,8756,10842668,103.15,129,937,328,19.86,107.8,291.41,5.54,49,0.85,79.7,0.01,0,0.31,12147.67,0.044712582
Upper Bogan River Water Source,3711.695595,11491,133535736,82.31,714,852,1729,4412.41,86.3,106.59,7.01,0,0.92,78.7,0.01,0.26,4.44,3385.87,0.590997828
Upper Cudgegong River Water Source,11.42363833,2260,5882248,60.07,77,530,6451.5,90.41,100.2,151.42,5.99,29,0.84,75.4,0.01,0.1,11.67,24454.3,0.195739799
Upper Talbragar River Water Source,394.4364329,2091,14613608,26.6,134,236,370,0,75.4,55.14,8.77,2.58,0.88,83.6,0.02,0.13,1.84,10772.52,0.807132587
Wambangalong Whylandra Creek Water Source,834.7718922,6245,14709304,6.91,123,66,169,7.56,84.4,45.48,6.18,3.27,0.87,82.2,0.01,0.02,1.02,3556.9,0.608332315
Winburndale Rivulet Water Source,19.14092754,8150,8944600,18.14,89,174,1629,24.85,105.2,171.03,5.6,27,0.83,83.1,0.01,0.02,2.61,7659.78,0.105493237
