id,catchment,water_source,longterm_extraction_limit,unreg_entitlement,mean_flow,FUI,DSI,irrigable_area,wetland_area,
1,Macquarie,Backwater Boggy Cowal Water Source,4531,2627,145.9,0.106002,0,12692.6,2646.6,
2,Macquarie,Bell River Water Source,8115,8136,304.96,0.115177,0.628073,509.9,0,
3,Macquarie,Bulbodney Grahway Creek Water Source,14038,7922,149.83,0.291254,0,0,1076.5,
4,Macquarie,Burrendong Dam Tributaries Water Source,873,577,333.54,0.00489353,1,0,6473.5,
5,Macquarie,Campbells River Water Source,2356,2101,228.3,0.0333333,1,159.8,144.7,
6,Macquarie,Coolbaggie Creek Water Source,507,466,68.41,0.0401033,0,877.2,184.6,
7,Macquarie,Cooyal Wialdra Creek Water Source,989,741,77.64,0.0562557,0.492578,91.3,4.7,
8,Macquarie,Ewenmar Creek Water Source,65177,1289.5,90.98,0.0834382,0,6160.5,13939.9,
9,Macquarie,Fish River Water Source,18374.5,18071,257.24,0.236553,1,18.3,298.7,
10,Macquarie,Goolma Creek Water Source,71,0,10.09,0,1,0,1412.7,
11,Macquarie,Lawsons Creek Water Source,1632,1496,47.35,0.193313,1,128.1,743.3,
12,Macquarie,Little River Water Source,2621,2270,97.47,0.101906,0.361141,636,0,
13,Macquarie,Lower Bogan River Water Source,44021,41277,156.05,1,0,1610.3,245215,
14,Macquarie,Lower Macquarie River Water Source,51993.5,48616,231.64,1,0.161071,4395,237878,
15,Macquarie,Lower Talbragar River Water Source,2009,2251,94.48,0.116489,0,566.5,0,
16,Macquarie,Macquarie River above Burrendong Water Source,25871,25586,548.27,0.158616,0.272473,543.6,1.3,
17,Macquarie,Marra Creek Water Source,438.5,311.5,4.91,0.173248,0,1776.8,46236.6,
18,Macquarie,Marthaguy Creek Water Source,4620,7608,204.5,0.189811,0.00193918,3289.8,29652.5,
19,Macquarie,Maryvale Geurie Creek Water Source,745,639,29.93,0.0934303,0.393903,1092.7,4.5,
20,Macquarie,Molong Creek Water Source,5663,5616,69.99,0.270967,0.305609,479.9,27.4,
21,Macquarie,Piambong Creek Water Source,1113,925,4.66,1,0.0236757,344.4,1092.5,
22,Macquarie,Pipeclay Creek Water Source,491,446,17.47,0.190956,0.523767,503.1,65.6,
23,Macquarie,Summerhill Creek Water Source,12402,11744,193.51,0.204956,0.404036,197.3,304.4,
24,Macquarie,Turon Crudine River Water Source,585,328,291.41,0.00393724,1,2.2,19.9,
25,Macquarie,Upper Bogan River Water Source,2182.5,1729,106.59,0.0893476,0,3711.7,4412.4,
26,Macquarie,Upper Cudgegong River Water Source,6580.5,6452,151.42,0.154365,0.573025,11.4,90.4,
27,Macquarie,Upper Talbragar River Water Source,627,370,55.14,0.0328063,0,394.4,0,
28,Macquarie,Wambangalong Whylandra Creek Water Source,220,169,45.48,0.0162581,1,834.8,7.6,
29,Macquarie,Winburndale Rivulet Water Source,1814,1629,171.03,0.0339413,1,19.1,24.8,
30,Manning,Avon River Water Source,2261.55,1744,421.748,0.0173362,1,111.5,22.2,
31,Manning,Bowman River Water Source,2344.6,2120,335.02,0.0226256,1,98.1,3.4,
32,Manning,Cooplacurripa River Water Source,964.3,400,654.365,0.00479913,1,28.4,9.1,
33,Manning,Dingo Creek Water Source,5393.9,4925,932.828,0.0177445,1,40.4,4.5,
34,Manning,Lower Barnard River Water Source,31562.4,21369,107.423,1,0,0,55.2,
35,Manning,Lower Barrington / Gloucester Rivers Water Source,11229.9,11293,416.382,0.0871938,1,427.7,132.5,
36,Manning,Lower Manning River Water Source,20064,20400,3087.94,0.0305336,0.67,274.1,282.4,
37,Manning,Manning Estuary Tributaries Water Source,3612.25,4213,278.02,1,0,2128.7,8748.9,
38,Manning,Mid Manning River Water Source,726.9,991,1008.77,0.00338617,1,8.3,42.1,
39,Manning,Myall Creek Water Source,133.65,2298,399.882,0.00131084,1,0,8.2,
40,Manning,Nowendoc River Water Source,1417.15,1274,495.901,0.0093066,1,0,84.9,
41,Manning,Rowleys River Water Source,377.45,277,708.831,0.00173415,1,0,4.6,
42,Manning,Upper Barnard River Water Source,412.7,1159,237.413,0.00520623,1,0,22,
43,Manning,Upper Barrington River Water Source,1053.5,951,778.131,0.004045,1,0,55,
44,Manning,Upper Gloucester River Water Source,6714.35,5419,114.179,0.225749,0.06,286.1,12.4,
45,Manning,Upper Manning River Water Source,2346.75,2241,260.426,0.0444964,1,9.1,7.5,
46,Manning,Upper Manning River Water Source,2243,2234,192601,0.0116459,1,529.347,0,
