valley_name,year,balance,diversion,carry_over
Macquarie,1890,453070,47085,287560
Macquarie,1891,453070,70838,218340
Macquarie,1892,453060,30667,181150
Macquarie,1893,452680,28068,210990
Macquarie,1894,371520,10855,303400
Macquarie,1895,0,17596,344650
Macquarie,1896,25526,13846,78820
Macquarie,1897,57596,7192,7749.7
Macquarie,1898,45022,7034,58299
Macquarie,1899,36245,3240,51473
Macquarie,1900,452770,29272,3656.3
Macquarie,1901,451870,13070,67938
Macquarie,1902,0,11771,77616
Macquarie,1903,143980,10667,11857
Macquarie,1904,61377,7229,37418
Macquarie,1905,72331,768,9184
Macquarie,1906,98883,1065,7146.4
Macquarie,1907,0,11254,164810
Macquarie,1908,0,9032,18731
Macquarie,1909,63430,29,3680.3
Macquarie,1910,0,8604,196970
Macquarie,1911,0,12508,145760
Macquarie,1912,199350,20506,126700
Macquarie,1913,0,8884,38415
Macquarie,1914,46852,3167,6240.7
Macquarie,1915,198960,2779,10715
Macquarie,1916,452700,29118,6495
Macquarie,1917,452900,37533,98905
Macquarie,1918,261630,16798,171020
Macquarie,1919,0,5086,41405
Macquarie,1920,452900,26984,8482.3
Macquarie,1921,453070,36536,305350
Macquarie,1922,407640,23679,324450
Macquarie,1923,99650,11970,295230
Macquarie,1924,0,8983,52943
Macquarie,1925,4530.7,3092,136640
Macquarie,1926,444010,25671,325680
Macquarie,1927,0,21935,372060
Macquarie,1928,108740,16416,273220
Macquarie,1929,0,7883,38932
Macquarie,1930,22238,794,6029.7
Macquarie,1931,453070,13527,104730
Macquarie,1932,122300,16308,214280
Macquarie,1933,0,5168,32095
Macquarie,1934,72491,8617,90910
Macquarie,1935,0,13677,348340
Macquarie,1936,153540,16234,37245
Macquarie,1937,0,1776,25404
Macquarie,1938,0,254,4722.2
Macquarie,1939,17731,448,2036.8
Macquarie,1940,0,50,381.45
Macquarie,1941,0,12276,126810
Macquarie,1942,452640,25676,893.67
Macquarie,1943,243580,17098,163750
Macquarie,1944,0,13877,167930
Macquarie,1945,148610,1810,11330
Macquarie,1946,0,1235,12436
Macquarie,1947,9061.4,157,4995.8
Macquarie,1948,154040,10504,426870
Macquarie,1949,113140,19431,193790
Macquarie,1950,452650,36565,0
Macquarie,1951,452910,50898,119410
Macquarie,1952,449800,55525,817.59
Macquarie,1953,375160,14171,149300
Macquarie,1954,0,15926,238260
Macquarie,1955,262780,14476,407510
Macquarie,1956,453050,27330,26601
Macquarie,1957,294490,21586,217320
Macquarie,1958,135310,14288,149580
Macquarie,1959,185760,7391,373280
Macquarie,1960,288620,24808,184220
Macquarie,1961,30136,12015,155960
Macquarie,1962,113270,12185,194680
Macquarie,1963,452890,29722,190110
Macquarie,1964,452400,40729,204910
Macquarie,1965,80383,16908,161260
Macquarie,1966,0,2799,36019
Macquarie,1967,63430,13266,362100
Macquarie,1968,104190,11179,124820
Macquarie,1969,394170,7660,50584
Macquarie,1970,348240,15776,179360
Macquarie,1971,403230,27685,338890
Macquarie,1972,233450,24534,337710
Macquarie,1973,453070,58070,224560
Macquarie,1974,453050,58580,217890
Macquarie,1975,262730,17124,333410
Macquarie,1976,312060,16893,401790
Macquarie,1977,108680,17768,375280
Macquarie,1978,452980,50028,105090
Macquarie,1979,330560,18580,182590
Macquarie,1980,0,9212,136720
Macquarie,1981,176530,26041,42159
Macquarie,1982,0,6492,51912
Macquarie,1983,80974,939,6804.3
Macquarie,1984,280900,36139,298910
Macquarie,1985,22644,13102,198770
Macquarie,1986,452970,24175,74376
Macquarie,1987,198860,13665,103260
Macquarie,1988,263980,11197,57357
Macquarie,1989,452870,30344,111110
Macquarie,1990,452340,61374,14681
Macquarie,1991,452170,20011,154830
Macquarie,1992,143700,15301,226540
Macquarie,1993,140450,23026,287050
Macquarie,1994,0,17692,213850
Macquarie,1995,0,6021,28811
Macquarie,1996,226530,20160,71929
Macquarie,1997,0,14734,175710
Macquarie,1998,452920,28968,9811.1
Macquarie,1999,226530,13567,170470
Macquarie,2000,376050,40266,247910
Macquarie,2001,253290,15674,290290
Macquarie,2002,0,18769,221660
Macquarie,2003,47717,9521,21361
Macquarie,2004,0,170,8683.6
Macquarie,2005,40721,3705,51581
Macquarie,2006,45307,11346,369450
Macquarie,2007,0,4188,26151
Macquarie,2008,0,10121,61091
Macquarie,2009,0,7263,21646
Macquarie,2010,453060,29037,4531.4
Macquarie,2011,262370,16263,243010
Macquarie,2012,371520,26653,355520
Macquarie,2013,0,16160,304590
