Catchment,LGA,TREATMENT PLANT,LAT,LONG,WWQI,Treted Volume (ML)
Macquarie,BALRANALD,Euston,-31.2532183,146.921099,,116
Macquarie,BATHURST,Bathurst,-33.4258975,149.5894045,100,3876.67
Macquarie,BOGAN,Nyngan,-31.5662057,147.0707349,88,161
Macquarie,BREWARRINA,Brewarrina,-29.9611741,146.8606479,75,155
Macquarie,CABONNE,Molong,-33.263953,149.118907,91,104
Macquarie,CABONNE,Yeoval,-32.75,148.65,,0
Macquarie,CENTDARLING,Wilcania,-31.2532183,146.921099,,53.01
Macquarie,COFFSHBR,Deep Sea Release,-31.2532183,146.921099,,
Macquarie,DUBBO,Dubbo (Troy Junction),-32.202475,148.6310238,100,3237.32
Macquarie,DUBBO,Wongarbon,-32.202475,148.6310238,,51
Macquarie,LACHLAN,Tottenham,-32.2449766,147.3554488,100,52
Macquarie,LEETON,Whitton,-31.2532183,146.921099,,19
Macquarie,MIDWESTERN,Gulgong,-32.35,149.533333,79,133.04
Macquarie,MIDWESTERN,Kandos,-32.854707,149.9783536,67,89
Macquarie,MIDWESTERN,Mudgee,-32.6144566,149.5733291,,0
Macquarie,MIDWESTERN,Mudgee (New),-32.6144566,149.5733291,100,1084.37
Macquarie,MIDWESTERN,Rylstone,-32.797121,149.9692936,97,52.02
Macquarie,NARROMINE,Narromine,-32.202475,148.6310238,100,396
Macquarie,NARROMINE,Trangie,-31.6927476,147.8458166,,110
Macquarie,OBERON,Oberon,-33.7038,149.85753,100,389.12
Macquarie,ORANGE,Orange,-33.263953,149.118907,94,4897.76
Macquarie,ORANGE,Spring Hill,-33.3828547,149.0856723,100,38
Macquarie,PARKES,Tullamore,-32.633333,147.566667,,13
Macquarie,WARREN,Nevertire,-31.6927476,147.8458166,,11
Macquarie,WARREN,Warren,-31.6927476,147.8458166,88,167
Macquarie,WARRUMBUNGLE,Coolah,-31.844224,149.6831167,56,67
Macquarie,WARRUMBUNGLE,Dunedoo,-31.9988062,149.3153069,56,36
Macquarie,WELLINGTON,Geurie,-32.202475,148.6310238,,21
Macquarie,WELLINGTON,Wellington,-32.55011,148.9448,95,578
Manning,MIDCSTCC,Coopernook,-31.8996541,152.4599979,83,26
Manning,MIDCSTCC,Dawson River,-31.8996541,152.4599979,100,1746.35
Manning,MIDCSTCC,Gloucester,-32.0095585,151.9655011,90,370
Manning,MIDCSTCC,Hallidays Point,-31.8996541,152.4599979,100,1227
Manning,MIDCSTCC,Harrington,-31.8996541,152.4599979,100,446
Manning,MIDCSTCC,Lansdowne,-31.8996541,152.4599979,100,26
Manning,MIDCSTCC,Manning Point,-31.8996541,152.4599979,,25
Manning,MIDCSTCC,Old Bar,-31.8996541,152.4599979,100,344
Manning,MIDCSTCC,Wingham,-31.884179,152.432778,99,385
