id,catchment,watersource,agriculture_water_use,mining_water_use,
1,Macquarie,Backwater Boggy Cowal Water Source,1374,0,
2,Macquarie,Bell River Water Source,6216,47,
3,Macquarie,Bulbodney Grahway Creek Water Source,4818,0,
4,Macquarie,Burrendong Dam Tributaries Water Source,350,0,
5,Macquarie,Campbells River Water Source,1873,0,
6,Macquarie,Coolbaggie Creek Water Source,443,0,
7,Macquarie,Cooyal Wialdra Creek Water Source,518,0,
8,Macquarie,Ewenmar Creek Water Source,486,2,
9,Macquarie,Fish River Water Source,1844.5,77,
10,Macquarie,Goolma Creek Water Source,0,0,
11,Macquarie,Lawsons Creek Water Source,807,0,
12,Macquarie,Little River Water Source,1897,0,
13,Macquarie,Lower Bogan River Water Source,40257.5,0,
14,Macquarie,Lower Macquarie River Water Source,44163,0,
15,Macquarie,Lower Talbragar River Water Source,2192,0,
16,Macquarie,Macquarie River above Burrendong Water Source,6963,8,
17,Macquarie,Marra Creek Water Source,204,0,
18,Macquarie,Marthaguy Creek Water Source,1795,0,
19,Macquarie,Maryvale Geurie Creek Water Source,602,0,
20,Macquarie,Molong Creek Water Source,3681,0,
21,Macquarie,Piambong Creek Water Source,851,0,
22,Macquarie,Pipeclay Creek Water Source,367,0,
23,Macquarie,Queen Charlottes Vale Evans Plains Creek Water Source,1784,18,
24,Macquarie,Summerhill Creek Water Source,2799,47,
25,Macquarie,Turon Crudine River Water Source,261,53,
26,Macquarie,Upper Bogan River Water Source,643,300,
27,Macquarie,Upper Cudgegong River Water Source,2803,231,
28,Macquarie,Upper Talbragar River Water Source,370,0,
29,Macquarie,Wambangalong Whylandra Creek Water Source,115,0,
30,Macquarie,Winburndale Rivulet Water Source,497,18,
31,Manning,Avon River Water Source,909.5,79,
32,Manning,Bowman River Water Source,2000.5,0,
33,Manning,Cooplacurripa River Water Source,600,0,
34,Manning,Dingo Creek Water Source,4855,12,
35,Manning,Lower Barnard River Water Source,1349,0,
36,Manning,Lower Barrington / Gloucester Rivers Water Source,9247,5,
37,Manning,Lower Manning River Water Source,6834,60,
38,Manning,Manning Estuary Tributaries Water Source,2167,84,
39,Manning,Mid Manning River Water Source,991,0,
40,Manning,Myall Creek Water Source,0,0,
41,Manning,Nowendoc River Water Source,1166,5,
42,Manning,Rowleys River Water Source,277,0,
43,Manning,Upper Barnard River Water Source,1159,0,
44,Manning,Upper Barrington River Water Source,916,28,
45,Manning,Upper Gloucester River Water Source,4949,83,
46,Manning,Upper Manning River Water Source,1729,0,
