Water Source,Irrigated Area (Ha),Irrigation Value ($ M),Employment Irrigation,Total Entitlement (ML/year),Mean Flow (ML/year),DSI,FUI
Avon River Water Source,112,351,34,1744,154030,1,0.02
Bowman River Water Source,98,278,27,2120,122275,1,0.02
Cooplacurripa River Water Source,28,725,69,400,238710,1,0
Dingo Creek Water Source,40,661,65,4925,340545,1,0.02
Lower Barnard River Water Source,0,758,80,21369,39055,0,1
Lower Barrington / Gloucester Rivers Water Source,428,346,33,11293,151840,1,0.09
Lower Manning River Water Source,274,664,64,20400,1127120,0.67,0.03
Manning Estuary Tributaries Water Source,2129,1143,110,4213,101470,0,1
Mid Manning River Water Source,8,217,21,991,368285,1,0
Myall Creek Water Source,0,538,52,2298,146000,1,0
Nowendoc River Water Source,0,554,53,1274,181040,1,0.01
Rowleys River Water Source,0,791,80,277,258785,1,0
Upper Barnard River Water Source,0,864,89,1159,86505,1,0.01
Upper Barrington River Water Source,0,704,67,951,283970,1,0
Upper Gloucester River Water Source,286,308,30,5419,41610,0.06,0.23
Upper Manning River Water Source,9,580,66,2241,94900,1,0.04
