Water Source,Irrigated Area (Ha),Irrigation Value ($ M),Employment Irrigation,Agriculture Water Use (ML),Risk to Agriculture ($ M),Opportunity to Agriculture ($ M),FUI,DSI,Mean Flow (ML/year),Potential Mining Area (Ha),Population
Backwater Boggy Cowal Water Source,12693,71,321,1374,1.2,35.6,0.11,0,53290,4420,3029
Bell River Water Source,510,30,258,6216,0,70.7,0.12,0.63,111325,86806,13155
Bulbodney Grahway Creek Water Source,,59,287,4818,5.8,37.2,0.29,0,54750,418851,2530
Burrendong Dam Tributaries Water Source,,23,252,350,0,124.9,0,1,146000,68588,9826
Campbells River Water Source,160,11,105,1873,0,64.1,0.03,1,83220,77569,4713
Coolbaggie Creek Water Source,877,16,132,443,0.1,18.7,0.04,0,24820,1402,6288
Cooyal Wialdra Creek Water Source,91,7,85,518,0,17.4,0.06,0.49,28470,116574,2502
Ewenmar Creek Water Source,6160,37,184,486,0.4,23.1,0.08,0,33215,24960,1778
Fish River Water Source,18,10,104,1845,0,42.4,0.24,1,93805,20741,5574
Goolma Creek Water Source,,6,67,0,0,2.5,0,1,3650,22310,2939
Lawsons Creek Water Source,128,5,68,807,0,3.3,0.19,1,17155,86933,2000
Little River Water Source,636,47,397,1897,0,25.8,0.1,0.36,35405,85351,9302
Lower Bogan River Water Source,1610,31,154,40258,48.5,0,1,0,56940,145739,1491
Lower Macquarie River Water Source,4395,34,123,44163,33.9,0,1,0.16,84680,36664,926
Lower Talbragar River Water Source,567,35,304,2192,1.3,20.3,0.12,0,34310,349864,12819
Macquarie River above Burrendong Water Source,544,15,143,6963,2.3,136.3,0.16,0.27,206590,13701,10960
Marra Creek Water Source,1777,30,116,204,0.2,0,0.17,0,1825,16165,826
Marthaguy Creek Water Source,3290,68,303,1795,2.1,59.3,0.19,0,74825,108732,2613
Maryvale Geurie Creek Water Source,1093,10,93,602,0,8,0.09,0.39,10950,33253,5112
Molong Creek Water Source,480,7,60,3681,1.7,12.3,0.27,0.31,25550,28550,1646
Piambong Creek Water Source,344,6,79,851,1,0,1,0.02,1825,16989,2332
Pipeclay Creek Water Source,503,2,30,367,0,1.1,0.19,0.52,6205,26958,875
Queen Charlottes Vale Evans Plains Creek Water Source,139,10,95,1784,0,18.4,0.11,1,26280,28653,6395
Summerhill Creek Water Source,197,35,287,2799,0.6,39.6,0.2,0.4,70810,61652,36297
Turon Crudine River Water Source,2,11,129,261,0,75.9,0,1,106215,37940,8756
Upper Bogan River Water Source,3712,134,714,643,0.8,35.9,0.09,0,39055,282047,11491
Upper Cudgegong River Water Source,11,6,77,2803,0,26.8,0.15,0.57,55115,61886,2260
Upper Talbragar River Water Source,394,15,134,370,0,13.8,0.03,0,20075,290275,2091
Wambangalong Whylandra Creek Water Source,835,15,123,115,0,13.7,0.02,1,16425,4521,6245
Winburndale Rivulet Water Source,19,9,89,497,0,43.8,0.03,1,62415,9219,8150
