Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Backwater Boggy Cowal Water Source,25.39008164,6.290875444,30.04441783,37.01185471,35.7807791,39.6448508,35.34082402,32.58501246,31.48897428,34.05083838,35.449114,32.67306139,38.05224789,40.17129843,29.05463338,39.02522223,40.04106042,19.03936792,7.640320114,37.50741766,40.55602337,35.72497534,25.30188553,0,40.58991971,41.50340088,39.97230853,35.59131704,19.0876266,38.69170912,41.16680524,38.07288125,31.70140855,34.71980488,37.38355466,34.81612678,26.21497507,0,28.19177955,20.14389468,30.93250076,39.04667462,40.70705533,24.05664326,40.24088941,30.30130439,32.31362666,32.17024441,1.969813665,41.64511164,41.91141991,31.48605535,39.92151019,7.71644935,41.66942049,41.65249552,40.92729014,30.04628886,41.35035729,32.22017333,17.27268636,32.26068867,33.62131062,39.87390997,32.83068881,10.25483505,30.31237968,32.98993592,41.47498323,41.6920215,41.42776006,40.87040667,40.89549784,41.59435612,25.60316789,34.21906334,20.75902756,40.85248843,36.25706352,35.24748397,0,35.66775693,40.24507403,38.93689803,38.1895624,16.33681142,16.336482,28.68195024,39.5269434,40.14780368,36.51008295,33.01342758,40.30216142,31.71300959,38.93990104,36.82858488,36.19717768,39.6024623,41.51375359,40.72949889,39.90620554,29.27358963,0,33.32319243,31.96423596,15.55563616,12.68812752,35.88775106,17.51557998,41.49779107,40.78361351,39.7504492,36.11159734,36.67460378,28.61991678,40.5371215,39.82890379,0,42.39216998
Bell River Water Source,69.16101645,48.71825486,53.90570403,66.8010558,68.01632659,71.2039003,64.62223377,30.43520922,37.06650905,68.35407424,63.12410176,63.8939113,74.63282697,41.83731251,58.4522208,79.8318496,81.48196916,77.40570127,54.92416352,68.1155458,81.22682956,72.72388495,64.83194685,65.03754836,75.2932588,80.4170049,72.76905771,59.60059905,39.8366445,0,82.205691,77.32289122,42.80087019,66.96904393,71.58954496,64.85329356,66.096252,39.89660581,46.85401871,39.0546703,59.03149616,77.33645549,77.74830632,61.48011214,59.93856902,40.74041836,61.37608216,73.29350733,52.07222372,83.30475629,84.52322564,82.61604289,82.71262373,76.61931778,80.15778242,84.03350698,82.66804254,50.19618459,80.13450252,76.91006912,72.89799134,71.0048308,69.78826469,76.26699012,74.18577889,6.965068148,64.01164836,40.8869872,73.60154663,75.95195358,76.73569869,81.02903566,78.63167528,82.47222492,78.92354684,79.99592365,76.98543325,78.37137856,76.80639441,50.72288478,25.0756813,69.55930112,23.16860749,76.09438649,75.84435776,69.22526307,72.17389935,63.72496,77.46267457,83.13997976,81.15524359,72.57171735,77.38846373,75.3219457,40.2283771,65.58299471,72.37733553,76.57605633,80.87202395,70.35996406,76.69443348,58.20304402,3.233914255,58.82063376,53.21432246,67.23744703,0,0,11.65438451,77.36343916,81.87729447,69.11952694,62.97522242,41.12282776,23.52459908,77.5930828,79.82878788,0,85.80569715
Bulbodney Grahway Creek Water Source,43.74566631,4.890305753,0,0,47.37166191,33.56566937,37.98485591,0.371901035,0,46.1546413,41.43786603,46.72167969,44.4155164,0,0,54.03885145,51.32309749,4.027938511,0.072456568,19.69869831,45.9821262,0,31.26326107,2.030477895,52.43121813,46.0765863,0,49.37403449,0,0,52.66038724,50.3153573,37.08428933,40.27670556,6.90322291,0,0,4.749140344,38.64285928,32.23514842,23.43546787,45.14484431,41.90132865,0,35.15379195,0,0,40.50033607,0,53.74870488,54.76472929,31.23984402,44.9715938,0,52.23412016,54.91615469,54.46417935,11.62746179,44.42931407,44.2940796,44.1187772,49.5677681,30.81891641,0,0,31.9983414,0,27.83458368,49.30545576,16.46507417,50.54079826,51.23904797,52.8516446,54.1242202,50.5630946,51.20442722,52.14346262,40.35968434,46.00860949,14.79989335,26.11109353,0,0,46.12576524,47.542773,0,14.64645707,37.25577588,52.46882587,54.46165126,51.55627896,51.39016812,50.54752219,49.61248349,0,0,0,43.69556621,52.3397742,48.36761823,49.9553702,23.9891782,0,0,0,23.56354224,0,38.09382604,0,38.74963929,49.26652962,0,11.23433588,18.88694375,24.59287077,51.03640647,54.16572656,0,56.27347712
Burrendong Dam Tributaries Water Source,125.3950904,124.2788283,123.9418798,124.3450406,124.4554368,124.9153711,124.8032023,121.9659286,122.5089941,124.7700626,124.9373129,124.1509851,124.5009545,123.7528778,123.645876,125.3251462,125.444299,125.2573771,122.2899031,125.1622997,125.4603666,125.2673842,125.1217657,124.4702643,124.8761434,125.4821651,125.1591722,124.8962764,123.932698,123.6015871,125.383235,124.7088464,124.0515346,124.4384926,125.2243435,124.5267563,124.4554652,121.3955326,123.7650547,123.6972166,123.8842134,124.8853437,125.3316452,123.2496816,124.5984491,124.3119026,123.9973052,125.3538136,124.6182594,125.5679544,125.6284826,125.3675397,125.2763218,124.3590935,125.3060455,125.6187718,125.2821942,123.6702547,125.1761548,124.9478262,124.0775695,124.3941135,125.1611552,125.4342501,125.0697629,123.1413345,125.1139015,124.5428923,125.0148857,125.2905921,125.1987734,125.365636,125.3616955,125.5657177,125.1095372,125.2476555,125.0239232,125.2880742,125.0298603,124.2122629,122.8715293,125.0785448,124.3429536,125.1002324,125.1746105,124.7727113,125.4097034,124.325986,125.4899127,125.5237927,125.3673777,124.7773358,124.8654129,124.5406086,121.8498325,125.2486589,124.8872853,124.9467096,125.5457463,125.2644732,125.4044478,122.524166,124.6926078,124.943254,124.9517928,125.2729551,123.5992314,124.5797296,123.9220829,125.2949774,125.4204144,125.2128037,124.4846759,123.3652851,123.5148308,125.1314898,125.3630611,18.30354305,125.7976428
Campbells River Water Source,65.52653713,64.96581094,55.44441501,53.04728469,56.92454169,57.7987813,57.67555256,50.20251031,49.18128669,54.18128011,59.57666106,60.92551696,63.53717469,57.22120689,61.40471203,65.81734072,66.24860871,64.95616535,51.35771303,61.39832659,65.75068125,64.68088442,62.8720638,60.9733699,54.6868634,65.99377357,64.81319459,61.09273283,61.35426638,52.15872637,65.33315795,64.82021984,56.12545063,59.54526921,62.91714806,60.95846831,61.76474345,46.73480067,54.87647593,58.64520889,56.01618627,63.08721376,66.2255294,64.51574083,57.19680474,51.76331956,61.694838,66.16650161,61.10812636,66.43141065,66.79230491,66.30592998,66.12429501,61.07052977,64.72276387,66.85070906,66.14661505,64.0085338,66.10198391,65.12694455,65.17790355,60.46471302,65.29990759,66.24818495,65.88493691,60.33515027,65.91547439,65.1128293,65.8229581,65.75280153,65.1272034,66.2166613,65.95107609,66.59997608,65.96511795,65.97235133,65.28152456,65.63871024,64.95671083,49.08684545,54.94475647,62.68538526,52.69118509,62.93676205,64.55319038,64.68589237,65.31841987,63.02038408,65.36318888,66.31890406,65.69518737,64.25553163,64.95086125,64.23309949,57.17375933,64.3908997,63.7642487,61.92727962,65.94673189,64.32598127,65.07596824,61.92377013,48.68506996,59.56984836,62.76812643,64.69928217,57.5714547,58.42369269,59.53155049,61.87068382,65.38936693,64.37476575,63.12149147,54.95060831,58.52159215,65.44663837,66.03406862,0,67.35492906
Coolbaggie Creek Water Source,16.85863248,13.47065567,17.68425549,18.92020544,18.70182611,19.38726993,18.62375933,18.13493838,17.94052178,18.39495218,18.6429913,18.1505571,19.10475417,19.48064778,17.50865769,19.27734866,19.4575461,15.73209828,13.71002939,19.00810619,19.54889657,18.69193174,16.84297863,10.20017675,19.55490596,19.71694973,19.44534985,18.66821716,15.74064961,19.21819895,19.65724279,19.10841492,17.97794218,18.51361187,18.98613887,18.53070422,17.00495509,6.56192949,17.35560437,15.92802774,17.84179817,19.28116654,19.57568488,16.6221129,19.49299185,17.72983196,18.08679298,18.06135519,12.70414692,19.74208678,19.78932742,17.93998794,19.43634492,13.72355414,19.74639908,19.74339662,19.6147547,17.68459768,19.68980128,18.07022423,15.41871078,18.0773955,18.31875242,19.42789559,18.17850903,14.17381421,17.73179904,18.20676051,19.71190675,19.75040987,19.70353169,19.60466185,19.60911484,19.73308424,16.89643628,18.42479318,16.03609398,19.60148516,18.78631805,18.60724873,0,18.68176749,19.49373836,19.26168013,19.12911401,15.25117378,15.25269816,17.44257202,19.36633105,19.47648565,18.83119427,18.21091726,19.50386168,17.98024893,19.26221565,18.8876843,18.77568467,19.37974507,19.71878604,19.57967033,19.4336248,17.54750672,4.431941573,18.26588972,18.02480906,15.11409717,14.60545998,18.72080036,15.46179392,19.71595628,19.58926683,19.40599205,18.76051251,18.8603734,17.43156902,19.54554084,19.41991304,0,19.87460695
Cooyal Wialdra Creek Water Source,17.76402479,8.808694098,17.42966737,16.58553757,17.08468138,14.52956791,17.1279598,15.75622369,14.56517581,18.86385997,18.22941983,16.22316078,18.1933117,17.6048613,15.7258029,18.92240878,18.84566234,16.75807819,10.6290881,18.17291076,19.00954982,19.07842637,18.34293704,16.12791197,18.33755477,19.07032881,18.54171043,18.64060041,16.11039221,16.0574774,17.66859792,16.31179078,14.68823386,17.27573804,17.47975017,15.9519336,14.27741877,11.26678828,10.8319225,8.260016182,8.54591801,16.62550455,17.54671341,13.55895627,16.86302081,15.04399455,15.39911505,17.10435941,17.37237496,19.1003348,19.19494978,16.67193448,17.51154391,15.8645466,18.81990359,19.12593297,18.88795728,18.40243604,17.77000784,16.64282967,14.21805665,17.16242126,17.92054863,16.96776962,17.20927641,13.46382903,7.263216515,0,18.66932638,16.55920594,18.33192866,18.47642814,18.88349868,19.11800516,12.88666733,18.57147375,16.44727047,17.69233979,18.90322868,16.68382882,14.54030647,18.36798388,18.30528707,17.61382534,17.04962847,18.34222291,16.38712609,16.29625254,18.06742283,18.73015912,18.65759326,17.08217257,17.90274888,15.70149482,15.7695236,17.88994958,17.845544,18.17238801,18.9278475,19.01222585,19.08505256,15.20716898,16.35508627,17.22578564,18.32308942,18.73060756,16.95386285,18.23237753,16.43517689,18.96322203,18.87356961,18.77289124,17.91898287,6.246560909,15.80649383,18.29843127,18.88658716,0,19.2930146
Ewenmar Creek Water Source,18.09026945,8.715154725,20.37491601,23.79498067,23.19068985,25.08742394,22.97473169,21.62200272,21.08399692,22.34152405,23.02788735,21.66522278,24.30567234,25.34583818,19.88906636,24.78327051,25.28190902,14.97293205,9.377548673,24.03823474,25.53468585,23.16329779,18.04697715,0,25.55132434,25.99971946,25.24816118,23.09768972,14.99662051,24.6195609,25.83449674,24.31580051,21.18827328,22.66989569,23.97743483,22.71717665,18.49518003,0,19.46552239,15.51510459,20.81084405,24.79380072,25.60882201,17.43573242,25.37999789,20.5010124,21.48878917,21.41840797,6.594100609,26.06928018,26.20000135,21.08256412,25.2232261,9.414917783,26.08121252,26.07290466,25.71692737,20.37583443,25.92459585,21.44291629,14.1057315,21.46280381,22.13068429,25.19986086,21.74259642,10.6609202,20.50644887,21.82076511,25.98577025,26.09230655,25.96259009,25.68900532,25.70132168,26.04436612,18.19486584,22.42409964,15.81705124,25.6802099,23.42448077,22.92891441,0,23.13521132,25.38205198,24.73991534,24.3730751,13.64634408,13.64618238,19.70612958,25.02954743,25.33430545,23.54867893,21.83229632,25.41007412,21.19396781,24.74138941,23.70502009,23.39508496,25.06661694,26.00480123,25.61983875,25.2157136,19.99654412,0,21.98434877,21.31728582,13.26289319,11.85533613,23.24319854,14.22495926,25.9969658,25.64640167,25.1392584,23.35307665,23.6294363,19.67567958,25.5254076,25.17776894,0,26.4359843
Fish River Water Source,54.24639923,37.90675763,36.3235339,52.65652046,42.20803445,45.03307321,43.64904272,23.10821787,31.96120842,17.26741444,24.13213219,11.36437241,22.58167832,19.59134692,30.48793828,59.17961506,58.06217527,2.274149278,0,21.7142501,42.98386185,27.61739242,40.53152115,44.59331184,27.14449069,48.16136441,33.97376882,0,0,0,52.48715818,43.95786005,14.53043666,38.70230431,51.75317714,42.00260541,39.36581776,0,4.887427785,9.201996318,0,20.73422883,48.00433349,8.848710216,20.72170702,11.95238493,32.88864182,53.42347052,23.28244599,58.76011271,62.40420633,61.34811602,59.28746073,25.07930931,43.10188831,63.05961262,58.81102623,21.92953499,49.11524468,49.22548168,48.07738198,42.55276627,49.26562743,58.11036133,58.16263667,22.55851088,49.5055234,54.23515395,55.44758503,54.72057904,46.44316037,55.65526886,44.72396678,61.42572115,58.10868893,56.19672707,46.56583337,55.16758628,47.23803589,0,0,28.39458716,0,30.81042954,41.48198659,49.78133328,53.96662411,45.37830218,58.37728762,59.37192393,54.17042647,23.47459912,31.57469379,23.44420662,16.98079288,41.8764628,39.04468182,39.13540373,57.73524409,52.86479443,54.76727812,43.81812192,13.87428752,34.00955398,49.53205283,53.55044807,25.39022658,9.00600605,20.37061742,37.91323414,53.75981312,48.59252737,44.2152805,19.73820959,33.65870279,51.69984992,53.04243215,0,68.96710739
Goolma Creek Water Source,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721
