Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Avon River Water Source,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847,76.8345847
Bowman River Water Source,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052,55.06157052
Cooplacurripa River Water Source,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953,71.16802953
Dingo Creek Water Source,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052,94.65795052
Lower Barnard River Water Source,0,0,0,0,19.94764542,0,0,0,15.43468076,0,0,0,0,8.550748737,0,0,0,0,0,0,0,0,18.25107389,0,0,0,0,0,0,17.81056926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.66342659,29.25998952,0,2.1510542,0,0,27.29230836,7.771483505,0,0,0,0,0,27.12688594,0,0,0,0,0,0,0,3.46763435,0,0,27.52410105,0,27.7154109,27.49349666,15.26486194,0,0,0,0,0,8.656345512,17.024851,16.18102621,0,0,22.11600654,28.02001302,24.8315103,0,0,0,0,0,6.415018465,0,5.419488865,27.08829176,21.3432822,0,0,0,0,0,0,12.15988576,27.39036206,0
Lower Barrington / Gloucester Rivers Water Source,78.79619542,81.11069249,2.960774039,83.19985212,101.3044773,87.62441869,50.88899191,78.09691093,96.26499436,71.29565896,90.5659332,91.6934665,92.62104794,101.5474276,91.17804218,96.59457392,83.82001194,89.48925282,92.01424319,84.26641206,71.18269149,96.9472665,98.45915115,92.37581959,77.06047714,93.47253998,92.156132,94.97343864,94.95481572,101.2354055,98.0788852,96.15559431,77.42531141,86.05335796,96.47431983,96.15218316,51.69542805,81.87563832,91.73009643,95.81541095,30.00980477,78.19842401,74.55122443,96.15138344,78.78037582,91.63548365,97.90782713,89.33345004,95.83002791,96.22676837,102.0373333,103.635982,91.01806318,100.0855299,85.4211003,102.5206659,101.9107364,90.00361405,74.53029635,96.20040059,97.49676498,88.82814082,99.9837677,103.4354193,92.29635893,0,59.46184849,94.57711814,101.7633912,89.43198091,94.86479121,99.96875836,94.20591754,97.24600959,101.1247834,83.33645767,102.8107465,100.7741252,99.97328373,94.87331677,74.01547733,82.40286123,90.77940164,90.56013647,97.77990357,98.21714605,93.17600703,78.3160812,99.15014949,101.480587,101.5477607,89.07108368,94.63984271,85.48185992,76.41699787,92.57488125,95.22394334,93.08872281,83.04356149,100.1444552,100.0153516,100.994143,79.38544005,88.21965537,84.96573226,94.04572279,84.64354809,83.10411779,102.1402926,99.62008189,79.25652503
Lower Manning River Water Source,134.4005824,134.4005824,0,134.4005824,134.4005824,134.4005824,0,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,0,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,25.39203844,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,0,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824,134.4005824
Manning Estuary Tributaries Water Source,97.19881892,96.70013904,93.7766597,96.62943724,98.69886215,97.06591497,95.67626537,98.53667537,98.4247709,96.71238641,98.38599535,98.33166527,98.25220902,98.77337409,98.00209679,98.70566295,98.0385332,97.17608738,98.3445407,98.15790445,93.04873172,98.72286622,98.56874182,98.57059848,97.62660636,98.61881321,97.89079659,98.13736682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mid Manning River Water Source,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734,27.93127734
Myall Creek Water Source,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553,65.41370553
