Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Backwater Boggy Cowal Water Source,1.164828318,1.164828318,1.655359982,1.164828318,1.164828318,1.164828318,1.175892942,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.175892942,1.164828318,1.164828318,1.164828318,1.655359982,1.655359982,1.164828318,1.164828318,1.164828318,1.175892942,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.175892942,1.139010861,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.655359982,1.164828318,1.164828318,1.164828318,1.175892942,1.164828318,1.164828318,1.175892942,1.175892942,1.655359982,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.175892942,1.164828318,1.164828318,1.139010861,1.175892942,1.164828318,1.164828318,1.175892942,1.164828318,1.164828318,1.164828318,1.164828318,1.164828318,1.655359982,1.655359982,1.655359982,1.655359982,1.139010861,0.18007678,1.655359982,1.655359982,0,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.175892942,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.164828318,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,0.390304636,0.023327939,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,1.655359982,0.1431947,0.969353293,1.655359982,1.655359982,1.655359982,1.655359982,1.212775022,1.655359982
Bell River Water Source,0,0,2.113380369,7.488877475,0,0,0.433537523,0,0,4.801128922,0,0,0,0,0.097568954,1.7774118,0,0,0,0.769506093,6.816940337,0,0,0,0,0,0,2.785317507,3.121286077,2.113380369,7.152908906,0,0,0.097568954,0,0,0,0,1.441443231,3.457254646,5.80903463,3.457254646,2.785317507,0,3.457254646,5.80903463,5.137097491,6.480971768,0,1.441443231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.801128922,0.769506093,3.457254646,0,0,0,0,0,0,0,0,0,0,0,0,3.793223215,6.145003199,7.152908906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678794579,3.490179565,5.418639152,4.198065341,5.231168691,4.668085369,0,0,0,0,2.26120654,4.560911395,0,0
Bulbodney Grahway Creek Water Source,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.463943217,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,4.710741514,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.756160475,5.804602908,5.804602908,5.804602908,5.804602908,0,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,4.271634298,5.804602908,5.804602908,5.804602908,5.804602908,5.101406298,2.924622125,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,4.116931044,5.71084336,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908,5.804602908
Burrendong Dam Tributaries Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15492939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbells River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coolbaggie Creek Water Source,0.115676437,0.115676437,0.533715045,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.533715045,0.533715045,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.533715045,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.533715045,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.115676437,0.533715045,0.533715045,0.533715045,0.533715045,0.115676437,0,0.533715045,0.533715045,0,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.115676437,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.115676437,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0,0,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0.533715045,0,0,0.533715045,0.533715045,0.533715045,0.533715045,0.157480298,0.533715045
Cooyal Wialdra Creek Water Source,0,0.009264243,0.624073123,0.624073123,0.009264243,0,0.624073123,0,0.009264243,0.009264243,0,0,0.009264243,0.009264243,0.316668683,0,0,0,0,0.624073123,0.624073123,0,0,0.316668683,0,0.316668683,0,0.009264243,0.009264243,0.624073123,0.316668683,0,0.316668683,0.316668683,0,0,0.316668683,0.316668683,0.624073123,0.316668683,0.624073123,0.624073123,0.624073123,0,0.316668683,0,0.316668683,0.624073123,0,0.316668683,0,0,0.316668683,0.009264243,0.316668683,0,0,0.009264243,0.316668683,0,0,0.009264243,0,0,0,0.624073123,0.316668683,0.624073123,0.624073123,0.316668683,0.009264243,0,0,0.316668683,0,0.009264243,0,0,0.009264243,0,0.316668683,0.624073123,0,0.624073123,0,0.009264243,0,0,0,0,0,0.316668683,0,0.624073123,0.316668683,0.316668683,0,0,0,0,0,0,0.355401643,0.454385872,0,0,0,0.573658795,0,0,0,0,0,0,0.365545989,0.438400841,0,0,0.315900172
Ewenmar Creek Water Source,0.365093162,0.365093162,0.585520343,0.365093162,0.365093162,0.365093162,0.370065203,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.370065203,0.365093162,0.365093162,0.365093162,0.585520343,0.585520343,0.365093162,0.365093162,0.365093162,0.370065203,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.370065203,0.353491731,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.585520343,0.365093162,0.365093162,0.365093162,0.370065203,0.365093162,0.365093162,0.370065203,0.370065203,0.585520343,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.370065203,0.365093162,0.365093162,0.353491731,0.370065203,0.365093162,0.365093162,0.370065203,0.365093162,0.365093162,0.365093162,0.365093162,0.365093162,0.585520343,0.585520343,0.585520343,0.585520343,0.353491731,0,0.585520343,0.585520343,0,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.370065203,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.365093162,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.017050243,0,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0.585520343,0,0.277253758,0.585520343,0.585520343,0.585520343,0.585520343,0.386638676,0.585520343
Fish River Water Source,0,0,0,0.4717162,0,0,0,0,0,0,0,0,0.022872579,0,0,0,0,0,0.426831838,1.504056529,1.369403443,0,0,0,0,0,0,0.202410028,0.830791097,0.965444184,0.696138011,0,0,0,0,0,0,0,0.4717162,0.381947476,0.314620933,1.010328546,0.337063114,0,0,0.4717162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830791097,0.920559821,0.067756941,1.234750356,0,0,0,0,0,0,0,0,0,0,0,0.067756941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676097143
Goolma Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
