Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Avon River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowman River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooplacurripa River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dingo Creek Water Source,0,0,0.161879547,2.119527326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Barnard River Water Source,0,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,0.795680495,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.064948535,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.574947104,1.625240623,0.951828392,0.847877067,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,0.4061855,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.584317328,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,1.625240623,0.460767661
Lower Barrington / Gloucester Rivers Water Source,0,0,3.230815439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.369544602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.077384177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.084728329,0,1.408374643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Manning River Water Source,1.511704227,5.822983558,8.233428035,8.233428035,0,0,5.504863197,8.233428035,0,0,0,0,0,2.676961402,0,0,0,0,0,2.018838704,8.233428035,0,0,0,0,0,0,0,4.70129946,0,0,0,0,0,0,0,4.804477024,8.233428035,8.233428035,0,0.733954276,4.177826452,5.970597844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.233428035,0,0,0,0,0,0,6.229916508,2.326395875,8.233428035,0,0,0,0,8.233428035,0,0,0.821573425,0,0,0,0,0,6.050203407,0,0,0,0,0,8.233428035,0,0,0,0,0,0,0,8.233428035,0,0,0,0,0,0,7.278619315,8.233428035,0,0,0,8.233428035,0,0,0
Manning Estuary Tributaries Water Source,0,0,0,1.111368673,1.687563615,2.029510788,2.191527683,2.285384141,2.361725692,2.414349842,2.44485243,2.47226893,2.494088471,2.508951773,2.522360437,2.53340981,2.541978892,2.549148565,2.554811403,2.560468058,2.56522533,2.568821154,2.572383671,2.575592625,2.578136086,2.58030174,2.582571173,2.584575182,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057,2.610746057
Mid Manning River Water Source,0,0,1.193931399,1.193931399,0,0,0,1.193931399,0,0,0,0,0,0,0,0,0,0,0,0,1.193931399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193931399,1.193931399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193931399,0,0,0,0,0,0,0,0,1.193931399,0,0,0,0,1.193931399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193931399,0,0,0,0,0,0,0,1.193931399,0,0,0,0,0,0,0,1.193931399,0,0,0,1.193931399,0,0,0
Myall Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
