Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Backwater Boggy Cowal Water Source,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0.991442139,0,0.991442139
Bell River Water Source,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,0,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,6.965068148,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,3.233914255,19.4730824,19.4730824,19.4730824,0,0,11.65438451,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,19.4730824,0,19.4730824
Bulbodney Grahway Creek Water Source,43.74566631,4.890305753,0,0,47.37166191,33.56566937,37.98485591,0.371901035,0,46.1546413,41.43786603,46.72167969,44.4155164,0,0,54.03885145,51.32309749,4.027938511,0.072456568,19.69869831,45.9821262,0,31.26326107,2.030477895,52.43121813,46.0765863,0,49.37403449,0,0,52.66038724,50.3153573,37.08428933,40.27670556,6.90322291,0,0,4.749140344,38.64285928,32.23514842,23.43546787,45.14484431,41.90132865,0,35.15379195,0,0,40.50033607,0,53.74870488,54.76472929,31.23984402,44.9715938,0,52.23412016,54.91615469,54.46417935,11.62746179,44.42931407,44.2940796,44.1187772,49.5677681,30.81891641,0,0,31.9983414,0,27.83458368,49.30545576,16.46507417,50.54079826,51.23904797,52.8516446,54.1242202,50.5630946,51.20442722,52.14346262,40.35968434,46.00860949,14.79989335,26.11109353,0,0,46.12576524,47.542773,0,14.64645707,37.25577588,52.46882587,54.46165126,51.55627896,51.39016812,50.54752219,49.61248349,0,0,0,43.69556621,52.3397742,48.36761823,49.9553702,23.9891782,0,0,0,23.56354224,0,38.09382604,0,38.74963929,49.26652962,0,11.23433588,18.88694375,24.59287077,51.03640647,54.16572656,0,56.27347712
Burrendong Dam Tributaries Water Source,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981,15.38619981
Campbells River Water Source,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,17.40105177,0,17.40105177
Coolbaggie Creek Water Source,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0.314468604,0,0.314468604
Cooyal Wialdra Creek Water Source,17.76402479,8.808694098,17.42966737,16.58553757,17.08468138,14.52956791,17.1279598,15.75622369,14.56517581,18.86385997,18.22941983,16.22316078,18.1933117,17.6048613,15.7258029,18.92240878,18.84566234,16.75807819,10.6290881,18.17291076,19.00954982,19.07842637,18.34293704,16.12791197,18.33755477,19.07032881,18.54171043,18.64060041,16.11039221,16.0574774,17.66859792,16.31179078,14.68823386,17.27573804,17.47975017,15.9519336,14.27741877,11.26678828,10.8319225,8.260016182,8.54591801,16.62550455,17.54671341,13.55895627,16.86302081,15.04399455,15.39911505,17.10435941,17.37237496,19.1003348,19.19494978,16.67193448,17.51154391,15.8645466,18.81990359,19.12593297,18.88795728,18.40243604,17.77000784,16.64282967,14.21805665,17.16242126,17.92054863,16.96776962,17.20927641,13.46382903,7.263216515,0,18.66932638,16.55920594,18.33192866,18.47642814,18.88349868,19.11800516,12.88666733,18.57147375,16.44727047,17.69233979,18.90322868,16.68382882,14.54030647,18.36798388,18.30528707,17.61382534,17.04962847,18.34222291,16.38712609,16.29625254,18.06742283,18.73015912,18.65759326,17.08217257,17.90274888,15.70149482,15.7695236,17.88994958,17.845544,18.17238801,18.9278475,19.01222585,19.08505256,15.20716898,16.35508627,17.22578564,18.32308942,18.73060756,16.95386285,18.23237753,16.43517689,18.96322203,18.87356961,18.77289124,17.91898287,6.246560909,15.80649383,18.29843127,18.88658716,0,19.2930146
Ewenmar Creek Water Source,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,0,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,0,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,0,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,0,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,5.599276374,0,5.599276374
Fish River Water Source,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,2.274149278,0,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,0,0,0,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,0,4.652770721,4.652770721,0,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,0,0,4.652770721,0,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,4.652770721,0,4.652770721
Goolma Creek Water Source,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721,2.50856721
