Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Avon River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowman River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooplacurripa River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dingo Creek Water Source,0,0,0.028164558,0.368765245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Barnard River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Barrington / Gloucester Rivers Water Source,0,0,0.122970304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204373956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231315529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079348289,0,0.053605123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Manning River Water Source,0.934247737,3.598659788,5.088337635,5.088337635,0,0,3.402058348,5.088337635,0,0,0,0,0,1.654387868,0,0,0,0,0,1.247661717,5.088337635,0,0,0,0,0,0,0,2.905448238,0,0,0,0,0,0,0,2.969212964,5.088337635,5.088337635,0,0.453590794,2.581936889,3.689886835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.088337635,0,0,0,0,0,0,3.850148261,1.437735003,5.088337635,0,0,0,0,5.088337635,0,0,0.50774027,0,0,0,0,0,3.739083838,0,0,0,0,0,5.088337635,0,0,0,0,0,0,0,5.088337635,0,0,0,0,0,0,4.498256672,5.088337635,0,0,0,5.088337635,0,0,0
Manning Estuary Tributaries Water Source,0,0,0,3.03247673,4.60468026,5.537716138,5.97979488,6.235891288,6.44419658,6.587786654,6.671015911,6.745824477,6.805361204,6.845917157,6.882503991,6.912653274,6.936034841,6.955597986,6.971049584,6.986484315,6.999464991,7.009276544,7.018997216,7.027753158,7.034693236,7.040602431,7.046794799,7.052262929,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689,7.123672689
Mid Manning River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myall Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
