Water Source,Population,Dam Capacity (GL),Variation,FUI,Potential for New Infrastructure,DSI,FRI (100 yrs Flood Frequency) (%),Mean Flow (ML/year),Potential Irrigable Area (Ha)
Avon River Water Source,2679,,2.99,0.02,0.45,1,0.75,154030,9965
Bowman River Water Source,2125,,2.99,0.02,0.41,1,0.75,122275,7141
Cooplacurripa River Water Source,2885,,2.94,0,0.44,1,0.5,238710,9230
Dingo Creek Water Source,5401,,3.53,0.02,0.5,1,0.25,340545,12276
Lower Barnard River Water Source,5189,,8.08,1,0.38,0,1.99,39055,7543
Lower Barrington / Gloucester Rivers Water Source,2642,,2.99,0.09,0.51,1,0.75,151840,17673
Lower Manning River Water Source,5073,,2.84,0.03,0.52,0.67,0,1127120,17431
Manning Estuary Tributaries Water Source,8750,,4.25,1,0.77,0,1.24,101470,31199
Mid Manning River Water Source,1654,,2.84,0,0.36,1,0,368285,3622
Myall Creek Water Source,595,,2.21,0,0.38,1,0.75,146000,8484
Nowendoc River Water Source,2340,,2.94,0.01,0.47,1,0.5,181040,11822
Rowleys River Water Source,5478,,2.94,0,0.37,1,0.5,258785,3905
Upper Barnard River Water Source,2612,,3.33,0.01,0.44,1,0.25,86505,8080
Upper Barrington River Water Source,5376,,2.49,0,0.44,1,0.25,283970,11979
Upper Gloucester River Water Source,2354,,3.55,0.23,0.43,0.06,0.25,41610,8604
Upper Manning River Water Source,3583,,3.56,0.04,0.45,1,0.5,94900,8202
