LGA,Population 2015,Predicted Population in 2036,Gross Regional Product ($ M),WSDI,Forecast Drinking Water Quality Deficiency (HBT) Index (%),Risk ($ M),Opportunity ($ M)
BATHURST,42231,49727,1963,34,0.14,93.4,110
BOGAN,3059,2290,187,60,0.45,50.5,37.8
BREWARRINA,1917,1216,57,30,0.48,8.2,5.2
CABONNE,13860,3310,772,23,0.41,72.8,17.4
COONAMBLE,4262,3257,176,30,0.37,19.5,14.9
DUBBO,41934,46617,2363,55,0.45,584.8,650.2
LACHLAN,6767,4568,261,37,0.36,34.8,23.5
MID-WESTERN REGIONAL,24191,20033,1757,53,0.14,130.4,108
NARROMINE,6822,4462,261,40,1,104.4,68.3
OBERON,5318,3078,238,44,0.14,14.7,8.5
ORANGE,41809,48858,2646,1,0.15,4,4.6
WALGETT,6791,3435,266,30,0.35,27.9,14.1
WARREN,2901,1729,125,40,1,50,29.8
