lga_name,catchment_name,proportion_in_macquarie_catchment,proportion_in_manning_catchment,proportion_in_backwater,proportion_in_bell,proportion_in_bullbodney,proportion_in_burrendong,proportion_in_campbells,proportion_in_coolbaggie,proportion_in_cooyal,proportion_in_ewenmar,proportion_in_fish,proportion_in_goolma,proportion_in_lawsons,proportion_in_little,proportion_in_lowerbogan,proportion_in_lowermacquarie,proportion_in_lowertalbragar,proportion_in_macquarie,proportion_in_marra,proportion_in_marthaguy,proportion_in_maryvale,proportion_in_molong,proportion_in_piambong,proportion_in_pipeclay,proportion_in_queen,proportion_in_summerhill,proportion_in_turon,proportion_in_upperbogan,proportion_in_uppercudgegong,proportion_in_uppertallbragar,proportion_in_wambangalong,proportion_in_winburndale,proportion_in_avon,proportion_in_bowman,proportion_in_cooplacurripa,proportion_in_dingo,proportion_in_lowerbarnard,proportion_in_lowerbarrington,proportion_in_lowermanning,proportion_in_manning,proportion_in_midmanning,proportion_in_myall,proportion_in_nowendoc,proportion_in_rowleys,proportion_in_upperbarnard,proportion_in_upperbarrington,proportion_in_uppergloucester,proportion_in_uppermanning,year_population,population,year_irrigation,irrigation_production,year_mining,mining_production,year_employment,employment_irrigation,employment_mining
Bathurst Regional(A),macquarie,0.8303,0,0,0,0,0,0.082208345,0,0,0,0.067185724,0,0,0,0,0,0,0.23627327,0,0,0,0,0,0,0.131506042,0.005664217,0.092870271,0,0,0,0,0.18990662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,42900,2010-2011,"47,090,937",2015-2016,95.3,2011,466,913
Blayney (A),macquarie,0.1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101586378,0.007085089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,7415,2010-2011,"34,701,153",2015-2016,63.9,2011,334,566
Bogan(A),macquarie,0.8449,0,0.003061235,0,0.512971999,0,0,0,0,0,0,0,0,0,0.310202374,0,0,0,0.006445809,0,0,0,0,0,0,0,0,0.013238397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2664,2010-2011,"53,714,006",2015-2016,0.4,2011,278,4
Bourke(A),macquarie,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028024886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2720,2010-2011,"35,362,095",2015-2016,0,2011,210,0
Brewarrina (A),macquarie,0.3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246817817,0,0,0,0.073638096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1687,2010-2011,"25,861,816",2015-2016,0,2011,140,0
Cabonne (A),macquarie,0.5214,0,0,0.100343558,0,0.002703324,0,0,0,0,0,0,0,0.260912969,0,0,0,0.014867253,0,0,0,0.0494793,0,0,0,0.095166824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,13647,2010-2011,"135,608,835",2015-2016,62.2,2011,1119,549
Cobar (A),macquarie,0.0095,0,0,0,0.0099764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,4713,2010-2011,"26,630,880",2015-2016,9.2,2011,204,76
Coonamble(A),macquarie,0.2152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044557403,0,0,0,0.173854795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,4056,2010-2011,"112,685,664",2015-2016,0,2011,457,0
Gilgandra(A),macquarie,0.3617,0,0,0,0,0,0,0.007817648,0,0.115651691,0,0,0,0,0,0,0,0,0,0.238458201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,4256,2010-2011,"62,264,741",2015-2016,0.2,2011,419,2
Lachlan(A),macquarie,0.2724,0,0,0,0.176939729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099733245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,6213,2010-2011,"172,964,792",2015-2016,12.4,2011,789,116
Lithgow (C),macquarie,0.7821,0,0,0,0,0,0,0,0,0,0.076821194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139839293,0,0.000234482,0,0,0.000126469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,21596,2010-2011,"13,596,513",2015-2016,341,2011,184,3153
