Basin_name,Category,AL,Water Type,purpose_des,WSP,WS,Share Component,Long,Lat
Macquarie,DOMESTIC AND STOCK,80AL716159,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,12,149.441127,-32.357034
Macquarie,UNREGULATED RIVER,80AL716160,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,15,149.441127,-32.357034
Macquarie,UNREGULATED RIVER,80AL716164,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,17,149.531563,-32.325346
Macquarie,UNREGULATED RIVER,80AL716166,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,14,149.456092,-32.343618
Macquarie,UNREGULATED RIVER,80AL716168,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,3,149.438024,-32.355651
Macquarie,UNREGULATED RIVER,80AL716170,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,20,149.487598,-32.34128
Macquarie,UNREGULATED RIVER,80AL716172,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,35,149.439696,-32.352352
Macquarie,DOMESTIC AND STOCK[TOWN WATER SUPPLY],80AL716174,UNREG,TOWN WATER SUPPLY,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,111,149.517252,-32.325813
Macquarie,UNREGULATED RIVER,80AL716176,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,38,149.437958,-32.353684
Macquarie,UNREGULATED RIVER,80AL716178,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,50,149.448658,-32.345361
Macquarie,UNREGULATED RIVER,80AL716182,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,27,149.475584,-32.337964
Macquarie,UNREGULATED RIVER,80AL716184,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,35,149.591567,-32.359864
Macquarie,UNREGULATED RIVER,80AL716188,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,51,149.755558,-32.502524
Macquarie,UNREGULATED RIVER,80AL716190,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,24,149.516252,-32.277939
Macquarie,UNREGULATED RIVER,80AL716192,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,8,149.443159,-32.349343
Macquarie,UNREGULATED RIVER,80AL716194,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,12,149.456746,-32.340803
Macquarie,UNREGULATED RIVER,80AL716196,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,24,149.594445,-32.354512
Macquarie,UNREGULATED RIVER,80AL716198,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,21,149.437963,-32.355568
Macquarie,UNREGULATED RIVER,80AL716200,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,12,149.527555,-32.308129
Macquarie,UNREGULATED RIVER,80AL716202,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,14,149.613648,-32.422496
Macquarie,UNREGULATED RIVER,80AL716204,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,20,149.763159,-32.446508
Macquarie,DOMESTIC AND STOCK,80AL716206,UNREG,FARMING,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,6,149.494338,-32.263249
Macquarie,UNREGULATED RIVER,80AL716207,UNREG,FARMING,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,5,149.494338,-32.263249
Macquarie,UNREGULATED RIVER,80AL716209,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,23,149.6427,-32.45408
Macquarie,DOMESTIC AND STOCK,80AL716212,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,5,149.4865752,-32.26544326
Macquarie,UNREGULATED RIVER,80AL716213,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,56,149.4865752,-32.26544326
Macquarie,DOMESTIC AND STOCK,80AL716215,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,COOYAL WIALDRA CREEK WATER SOURCE,3,149.675687,-32.458029
Macquarie,UNREGULATED RIVER,80AL716219,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,16,147.856968,-31.684926
Macquarie,DOMESTIC AND STOCK[STOCK],80AL716229,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,4,148.129586,-31.79035
Macquarie,UNREGULATED RIVER,80AL716230,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,48,148.129586,-31.79035
Macquarie,DOMESTIC AND STOCK[STOCK],80AL716232,UNREG,INDUSTRIAL,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,0.5,147.854684,-31.676217
Macquarie,UNREGULATED RIVER,80AL716233,UNREG,INDUSTRIAL,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,1.5,147.854684,-31.676217
Macquarie,DOMESTIC AND STOCK,80AL716235,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,6,147.85958,-31.690578
Macquarie,UNREGULATED RIVER,80AL716236,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,275,147.85958,-31.690578
Macquarie,DOMESTIC AND STOCK,80AL716238,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,6,147.824908,-31.655324
Macquarie,UNREGULATED RIVER,80AL716239,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,170,147.824908,-31.655324
Macquarie,DOMESTIC AND STOCK[STOCK],80AL716241,UNREG,STOCK,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,4,148.145537,-31.783465
Macquarie,UNREGULATED RIVER,80AL716242,UNREG,STOCK,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,228,148.145537,-31.783465
Macquarie,DOMESTIC AND STOCK,80AL716244,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,6,147.861495,-31.687474
Macquarie,UNREGULATED RIVER,80AL716245,UNREG,DOMESTIC,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,EWENMAR CREEK WATER SOURCE,88,147.861495,-31.687474
Macquarie,UNREGULATED RIVER,80AL716249,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,58,149.729607,-33.536309
Macquarie,UNREGULATED RIVER,80AL716255,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,13,149.91406,-33.789919
Macquarie,UNREGULATED RIVER,80AL716257,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,25,149.685178,-33.501452
Macquarie,UNREGULATED RIVER,80AL716261,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,19,149.662564,-33.485151
Macquarie,UNREGULATED RIVER,80AL716263,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,21,149.674189,-33.497574
Macquarie,UNREGULATED RIVER,80AL716265,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,63,149.649962,-33.493821
Macquarie,UNREGULATED RIVER,80AL716267,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,92,149.722273,-33.525151
Macquarie,UNREGULATED RIVER,80AL716269,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,13,149.899168,-33.528711
Macquarie,UNREGULATED RIVER,80AL716271,UNREG,AUGMENTATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,25,149.87568,-33.44926
Macquarie,UNREGULATED RIVER,80AL716273,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,37,149.890517,-33.565671
Macquarie,UNREGULATED RIVER,80AL716275,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,18,149.901421,-33.503859
Macquarie,UNREGULATED RIVER,80AL716277,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,63,149.667882,-33.489366
Macquarie,DOMESTIC AND STOCK[TOWN WATER SUPPLY],80AL716279,UNREG,TOWN WATER SUPPLY,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,15,149.897109,-33.542118
Macquarie,UNREGULATED RIVER,80AL716281,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,5,149.850769,-33.520671
Macquarie,UNREGULATED RIVER,80AL716283,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,60,149.949063,-33.683769
Macquarie,UNREGULATED RIVER,80AL716285,UNREG,INDUSTRIAL - SAND & GRAVEL,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,75,149.665709,-33.485867
Macquarie,UNREGULATED RIVER,80AL716287,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,163,149.689931,-33.502826
Macquarie,UNREGULATED RIVER,80AL716289,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,38,149.790076,-33.505133
Macquarie,UNREGULATED RIVER,80AL716291,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,14,149.904339,-33.493233
Macquarie,UNREGULATED RIVER,80AL716293,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,18,149.9657,-33.613666
Macquarie,UNREGULATED RIVER,80AL716297,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,50,149.892474,-33.556912
Macquarie,UNREGULATED RIVER,80AL716299,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,5,149.893196,-33.713948
Macquarie,UNREGULATED RIVER,80AL716303,UNREG,MINING,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,2,149.854323,-33.743956
Macquarie,UNREGULATED RIVER,80AL716305,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,6,149.810843,-33.538982
Macquarie,UNREGULATED RIVER,80AL716307,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,119,149.89131,-33.537355
Macquarie,UNREGULATED RIVER,80AL716309,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,5,149.950252,-33.736982
Macquarie,UNREGULATED RIVER,80AL716311,UNREG,IRRIGATION,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,FISH RIVER WATER SOURCE,25,149.705316,-33.517672
