catchment,watersource,agriculture_water_use,mining_water_use
Macquarie,Backwater Boggy Cowal Water Source,1374,0
Macquarie,Bell River Water Source,6216,47
Macquarie,Bulbodney Grahway Creek Water Source,4818,0
Macquarie,Burrendong Dam Tributaries Water Source,350,0
Macquarie,Campbells River Water Source,1873,0
Macquarie,Coolbaggie Creek Water Source,443,0
Macquarie,Cooyal Wialdra Creek Water Source,518,0
Macquarie,Ewenmar Creek Water Source,486,2
Macquarie,Fish River Water Source,1844.5,77
Macquarie,Goolma Creek Water Source,0,0
Macquarie,Lawsons Creek Water Source,807,0
Macquarie,Little River Water Source,1897,0
Macquarie,Lower Bogan River Water Source,40257.5,0
Macquarie,Lower Macquarie River Water Source,44163,0
Macquarie,Lower Talbragar River Water Source,2192,0
Macquarie,Macquarie River above Burrendong Water Source,6963,8
Macquarie,Marra Creek Water Source,204,0
Macquarie,Marthaguy Creek Water Source,1795,0
Macquarie,Maryvale Geurie Creek Water Source,602,0
Macquarie,Molong Creek Water Source,3681,0
Macquarie,Piambong Creek Water Source,851,0
Macquarie,Pipeclay Creek Water Source,367,0
Macquarie,Queen Charlottes Vale Evans Plains Creek Water Source,1784,18
Macquarie,Summerhill Creek Water Source,2799,47
Macquarie,Turon Crudine River Water Source,261,53
Macquarie,Upper Bogan River Water Source,643,300
Macquarie,Upper Cudgegong River Water Source,2803,231
Macquarie,Upper Talbragar River Water Source,370,0
Macquarie,Wambangalong Whylandra Creek Water Source,115,0
Macquarie,Winburndale Rivulet Water Source,497,18
Manning,Avon River Water Source,909.5,79
Manning,Bowman River Water Source,2000.5,0
Manning,Cooplacurripa River Water Source,600,0
Manning,Dingo Creek Water Source,4855,12
Manning,Lower Barnard River Water Source,1349,0
Manning,Lower Barrington / Gloucester Rivers Water Source,9247,5
Manning,Lower Manning River Water Source,6834,60
Manning,Manning Estuary Tributaries Water Source,2167,84
Manning,Mid Manning River Water Source,991,0
Manning,Myall Creek Water Source,0,0
Manning,Nowendoc River Water Source,1166,5
Manning,Rowleys River Water Source,277,0
Manning,Upper Barnard River Water Source,1159,0
Manning,Upper Barrington River Water Source,916,28
Manning,Upper Gloucester River Water Source,4949,83
Manning,Upper Manning River Water Source,1729,0
